x_over_c,y_over_c,Cp
0.999750018119812,-3.632896550698206e-05,0.9365672469139099
0.9990000128746033,-0.00014525375445373356,0.5731653571128845
0.997759997844696,-0.00032511117751710117,0.5169818997383118
0.9960200190544128,-0.0005769983399659395,0.45728397369384766
0.9937800168991089,-0.0009004365419968963,0.414072185754776
0.9910500049591064,-0.0012933638645336032,0.38157200813293457
0.9878399968147278,-0.001753609743900597,0.3525938093662262
0.9841300249099731,-0.0022831768728792667,0.32687604427337646
0.9799500107765198,-0.0028768260963261127,0.30326977372169495
0.9752799868583679,-0.0035363242495805025,0.28132766485214233
0.9701499938964844,-0.004256268497556448,0.2607031464576721
0.9645400047302246,-0.005038225557655096,0.24113421142101288
0.9584699869155884,-0.005878077354282141,0.22246240079402924
0.9519400000572205,-0.006774428766220808,0.20454974472522736
0.9449599981307983,-0.007724467199295759,0.18730281293392181
0.9375399947166443,-0.00872534979134798,0.17064867913722992
0.9296900033950806,-0.0097742211073637,0.15450884401798248
0.9214000105857849,-0.010870860889554024,0.1388128697872162
0.9126999974250793,-0.012009731493890285,0.12353278696537018
0.9035800099372864,-0.01319055911153555,0.10861402004957199
0.8940600156784058,-0.01440916396677494,0.09403865784406662
0.8841500282287598,-0.015662692487239838,0.07977613061666489
0.8738499879837036,-0.016949564218521118,0.06577184796333313
0.8631799817085266,-0.01826569065451622,0.052026912569999695
0.8521599769592285,-0.019607091322541237,0.038475848734378815
0.8407700061798096,-0.02097463235259056,0.02509939670562744
0.8290500044822693,-0.022361962124705315,0.011874689720571041
0.8170099854469299,-0.023766420781612396,-0.001217876560986042
0.804639995098114,-0.02518763579428196,-0.014195629395544529
0.7919700145721436,-0.02662062644958496,-0.027057357132434845
0.779009997844696,-0.028062766417860985,-0.03981824591755867
0.765779972076416,-0.029510337859392166,-0.05252709984779358
0.7522799968719482,-0.030961811542510986,-0.06526589393615723
0.7385200262069702,-0.03241453319787979,-0.07805341482162476
0.7245299816131592,-0.033863767981529236,-0.09087176620960236
0.710319995880127,-0.0353068932890892,-0.10375596582889557
0.6958900094032288,-0.03674225136637688,-0.11667099595069885
0.6812700033187866,-0.038165152072906494,-0.1297062337398529
0.6664699912071228,-0.03957289457321167,-0.14285220205783844
0.6514999866485596,-0.04096270352602005,-0.1561545729637146
0.6363800168037415,-0.04233084246516228,-0.1696416139602661
0.6211299896240234,-0.04367358982563019,-0.18332119286060333
0.6057599782943726,-0.04498807340860367,-0.1972464770078659
0.5902799963951111,-0.046271324157714844,-0.211411714553833
0.5747100114822388,-0.0475195087492466,-0.22583971917629242
0.5590599775314331,-0.048729557543992996,-0.2404937893152237
0.5433599948883057,-0.04989684000611305,-0.2553940713405609
0.5276100039482117,-0.05101897567510605,-0.2705115079879761
0.5118399858474731,-0.05209138244390488,-0.2858051061630249
0.49605000019073486,-0.05311153456568718,-0.30110836029052734
