x_over_c,y_over_c,Cp
0.999750018119812,-3.632896550698206e-05,1.1649783849716187
0.9990000128746033,-0.00014525375445373356,0.5255561470985413
0.997759997844696,-0.00032511117751710117,0.4619514048099518
0.9960200190544128,-0.0005769983399659395,0.37423720955848694
0.9937800168991089,-0.0009004365419968963,0.3374573886394501
0.9910500049591064,-0.0012933638645336032,0.3078656792640686
0.9878399968147278,-0.001753609743900597,0.28545552492141724
0.9841300249099731,-0.0022831768728792667,0.2663878798484802
0.9799500107765198,-0.0028768260963261127,0.2498852014541626
0.9752799868583679,-0.0035363242495805025,0.23530183732509613
0.9701499938964844,-0.004256268497556448,0.22222967445850372
0.9645400047302246,-0.005038225557655096,0.2103589028120041
0.9584699869155884,-0.005878077354282141,0.19955262541770935
0.9519400000572205,-0.006774428766220808,0.18963120877742767
0.9449599981307983,-0.007724467199295759,0.18051458895206451
0.9375399947166443,-0.00872534979134798,0.172106072306633
0.9296900033950806,-0.0097742211073637,0.16433830559253693
0.9214000105857849,-0.010870860889554024,0.15713506937026978
0.9126999974250793,-0.012009731493890285,0.15046897530555725
0.9035800099372864,-0.01319055911153555,0.14428065717220306
0.8940600156784058,-0.01440916396677494,0.1385534554719925
0.8841500282287598,-0.015662692487239838,0.13326016068458557
0.8738499879837036,-0.016949564218521118,0.12833735346794128
0.8631799817085266,-0.01826569065451622,0.12380891293287277
0.8521599769592285,-0.019607091322541237,0.11961541324853897
0.8407700061798096,-0.02097463235259056,0.11575816571712494
0.8290500044822693,-0.022361962124705315,0.11220733076334
0.8170099854469299,-0.023766420781612396,0.10894976556301117
0.804639995098114,-0.02518763579428196,0.10596725344657898
0.7919700145721436,-0.02662062644958496,0.10324252396821976
0.779009997844696,-0.028062766417860985,0.1007845401763916
0.765779972076416,-0.029510337859392166,0.09860141575336456
0.7522799968719482,-0.030961811542510986,0.09661539644002914
0.7385200262069702,-0.03241453319787979,0.09489810466766357
0.7245299816131592,-0.033863767981529236,0.09332486242055893
0.710319995880127,-0.0353068932890892,0.09203533083200455
0.6958900094032288,-0.03674225136637688,0.09089469164609909
0.6812700033187866,-0.038165152072906494,0.09000704437494278
0.6664699912071228,-0.03957289457321167,0.08929912000894547
0.6514999866485596,-0.04096270352602005,0.08878941833972931
0.6363800168037415,-0.04233084246516228,0.08850879222154617
0.6211299896240234,-0.04367358982563019,0.08840089291334152
0.6057599782943726,-0.04498807340860367,0.08855258673429489
0.5902799963951111,-0.046271324157714844,0.08888082206249237
0.5747100114822388,-0.0475195087492466,0.08949577808380127
0.5590599775314331,-0.048729557543992996,0.09030234813690186
0.5433599948883057,-0.04989684000611305,0.09143631905317307
0.5276100039482117,-0.05101897567510605,0.09276913106441498
0.5118399858474731,-0.05209138244390488,0.0944945365190506
0.49605000019073486,-0.05311153456568718,0.09643461555242538
0.48026999831199646,-0.05407492071390152,0.09883338212966919
0.4645099937915802,-0.05497835576534271,0.10149281471967697
0.44878000020980835,-0.055818598717451096,0.10468389093875885
0.43310999870300293,-0.05659141764044762,0.10819824039936066
0.41749998927116394,-0.05729416757822037,0.11228248476982117
0.4019699990749359,-0.05792324244976044,0.11682235449552536
0.3865399956703186,-0.05847521126270294,0.12191572785377502
0.37123000621795654,-0.058946844190359116,0.12763449549674988
0.35604000091552734,-0.0593356154859066,0.1339585781097412
0.34099000692367554,-0.059638477861881256,0.14102786779403687
0.32611000537872314,-0.05985254421830177,0.1488286256790161
0.31139999628067017,-0.059975650161504745,0.1573929637670517
0.29686999320983887,-0.06000550091266632,0.16694466769695282
0.28255000710487366,-0.05994005501270294,0.17724476754665375
0.268449991941452,-0.05977765470743179,0.18874435126781464
0.25457000732421875,-0.059516578912734985,0.20110270380973816
0.24094000458717346,-0.05915585905313492,0.2148088812828064
0.22756999731063843,-0.058694567531347275,0.229518860578537
0.2144699990749359,-0.058131974190473557,0.24571257829666138
0.20166000723838806,-0.05746811255812645,0.26310446858406067
0.18914000689983368,-0.05670228227972984,0.28214195370674133
0.1769299954175949,-0.05583513528108597,0.3025968670845032
0.1650400012731552,-0.05486709251999855,0.3248951733112335
0.15349000692367554,-0.05379977822303772,0.34879064559936523
0.14228999614715576,-0.052634429186582565,0.3747096359729767
0.13143999874591827,-0.05137133598327637,0.4025101363658905
0.12094999849796295,-0.05001187324523926,0.43260493874549866
0.11084999889135361,-0.048560671508312225,0.4646427631378174
0.10113000124692917,-0.04701715335249901,0.4993158280849457
0.09181000292301178,-0.045385271310806274,0.5362358689308167
0.08290000259876251,-0.04366791620850563,0.5757542848587036
0.07440000027418137,-0.04186607897281647,0.6178340911865234
0.06633000075817108,-0.039985138922929764,0.6624250411987305
0.05869000032544136,-0.0380263589322567,0.709457278251648
0.05149000138044357,-0.03599337860941887,0.7583948373794556
0.04473999887704849,-0.03389028459787369,0.8087107539176941
0.038440000265836716,-0.03171811252832413,0.8597898483276367
0.032600000500679016,-0.02948109433054924,0.9096110463142395
0.027230000123381615,-0.027184199541807175,0.9545667171478271
0.02232000045478344,-0.024823294952511787,0.9924543499946594
0.017899999395012856,-0.022413644939661026,1.0126975774765015
0.013949999585747719,-0.019944922998547554,1.007393479347229
0.010490000247955322,-0.017429161816835403,0.9590850472450256
0.007519999984651804,-0.014867562800645828,0.840065062046051
0.005040000192821026,-0.012260324321687222,0.6290741562843323
0.0030499999411404133,-0.00960556510835886,0.27262696623802185
0.001560000004246831,-0.0069175176322460175,-0.21574647724628448
0.0005600000149570405,-0.004173159599304199,-0.9063422083854675
5.999999848427251e-05,-0.0013753296807408333,-1.7581216096878052
0.0,0.0,-2.4948902130126953
5.999999848427251e-05,0.0013753296807408333,-2.7668039798736572
0.0005600000149570405,0.004173159599304199,-3.219419479370117
0.001560000004246831,0.0069175176322460175,-3.9994263648986816
0.0030499999411404133,0.00960556510835886,-4.370087623596191
0.005040000192821026,0.012260324321687222,-4.422133445739746
0.007519999984651804,0.014867562800645828,-4.296022415161133
0.010490000247955322,0.017429161816835403,-4.078233242034912
0.013949999585747719,0.019944922998547554,-3.82527756690979
0.017899999395012856,0.022413644939661026,-3.569793701171875
0.02232000045478344,0.024823294952511787,-3.3312113285064697
