"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.4059069649,        1.87222478,        2.09836763,       5.043712953
          0,           0,           1,     -0.6287612008,       1.570426296,       1.891101166,       4.816744493
          0,           0,           2,     -0.7660460465,       1.447629688,       1.773479398,       4.683992849
          0,           0,           3,     -0.8346749008,       1.445820294,       1.722269298,       4.619254264
          0,           0,           4,     -0.8756927958,       1.452194085,       1.694370633,        4.57853032
          0,           0,           5,     -0.9124990529,       1.449204703,       1.668947071,       4.541272477
          0,           0,           6,     -0.9525783778,       1.445049642,       1.641003256,       4.502243784
          0,           0,           7,     -0.9937525071,       1.444456749,       1.612207786,       4.463931669
          0,           0,           8,      -1.031184465,       1.444520233,       1.584864866,       4.430104194
          0,           0,           9,      -1.059668551,       1.439338569,       1.562302231,       4.403955892
          0,           0,          10,      -1.080706242,       1.426228835,        1.54558893,       4.383047434
          0,           0,          11,      -1.099039976,       1.406903166,       1.534013292,       4.363129719
          0,           0,          12,      -1.118106206,       1.385629075,       1.525369255,       4.341750521
          0,           0,          13,      -1.137733864,       1.365811218,       1.516522445,       4.319753323
          0,           0,          14,       -1.15564078,       1.348207897,       1.504775902,       4.299698462
          0,           0,          15,      -1.169378404,        1.33031733,       1.488390736,       4.284021851
          0,           0,          16,       -1.17850332,       1.309448254,       1.467106794,       4.273142794
          0,           0,          17,      -1.184777295,       1.284853926,       1.441966784,       4.265411914
          0,           0,          18,      -1.190644955,       1.257529162,       1.414273744,       4.258601243
          0,           0,          19,      -1.198460797,        1.23023082,       1.386429708,       4.250431555
          0,           0,          20,      -1.209466551,       1.204498612,       1.359750696,       4.239568288
          0,           0,          21,      -1.224261551,       1.180375406,       1.334855756,       4.225209258
          0,           0,          22,      -1.243131509,       1.157133003,       1.312022031,       4.206851413
          0,           0,          23,       -1.26637817,       1.134255059,        1.29128455,       4.184138828
          0,           0,          24,       -1.29326913,       1.112550093,       1.273299874,        4.15761031
          0,           0,          25,      -1.322535316,       1.093051554,       1.258034735,       4.128503493
          0,           0,          26,      -1.352218896,       1.076345952,       1.244841665,       4.098741821
          0,           0,          27,      -1.380268987,       1.062207396,       1.232646819,       4.070313753
          0,           0,          28,      -1.408122923,       1.045441524,       1.217800704,       4.041400987
          0,           0,          29,      -1.432628754,       1.030339201,        1.20281023,        4.01550064
          0,           0,          30,      -1.454587619,       1.017140853,       1.188092736,       3.991759177
          0,           0,          31,      -1.475435369,       1.005947528,       1.174204132,       3.968690871
          0,           0,          32,      -1.496600919,      0.9965841187,       1.161546359,        3.94480028
          0,           0,          33,      -1.519143081,      0.9888715626,       1.150179841,       3.918980815
          0,           0,          34,      -1.542492975,      0.9822609105,       1.139799103,        3.89178678
          0,           0,          35,      -1.565400151,      0.9764739593,       1.129870892,       3.864665736
          0,           0,          36,      -1.586063251,      0.9713300736,       1.119901333,       3.839864328
          0,           0,          37,      -1.602409479,      0.9652345018,       1.110432003,       3.819647601
          0,           0,          38,      -1.616047753,      0.9595806542,       1.100751462,       3.802835409
