"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.632896519016437e-05, 1.396958941599382e+00, 1.125486386757444e+02, 1.634832235531339e+01, 2.826601311108808e+05
1, 9.990000128750000e-01, -1.452537504052920e-04, 1.318767309318249e+00, 1.226523055869956e+02, 1.779871849423488e+01, 2.672177146071442e+05
2, 9.977599978450000e-01, -3.251111630156300e-04, 1.320240875181356e+00, 1.339964381690912e+02, 1.941354081307831e+01, 2.678342961260549e+05
3, 9.960200190539999e-01, -5.769983605901485e-04, 1.313093020474850e+00, 1.366790344703457e+02, 1.975762547352254e+01, 2.664253281774725e+05
4, 9.937800168990000e-01, -9.004365425509819e-04, 1.309650473226479e+00, 1.386114263000999e+02, 1.997909540966673e+01, 2.657209990711064e+05
5, 9.910500049590000e-01, -1.293363843462116e-03, 1.307605422250571e+00, 1.396961634030789e+02, 2.006477700593044e+01, 2.652540752095385e+05
6, 9.878399968150000e-01, -1.753609743384430e-03, 1.305397148443939e+00, 1.404941266768696e+02, 2.009583148384413e+01, 2.647448362533306e+05
7, 9.841300249100000e-01, -2.283176811071472e-03, 1.303400761897493e+00, 1.409932946640283e+02, 2.007180463991348e+01, 2.642600489948420e+05
8, 9.799500107769999e-01, -2.876826092032643e-03, 1.301462573365904e+00, 1.414329599935561e+02, 2.002658644664841e+01, 2.637808146034738e+05
9, 9.752799868580000e-01, -3.536324145770189e-03, 1.299701302031192e+00, 1.417267608267463e+02, 1.994938935642904e+01, 2.633427436265424e+05
10, 9.701499938960000e-01, -4.256268552403566e-03, 1.297830331117659e+00, 1.419098175203716e+02, 1.984492179101363e+01, 2.628573645221496e+05
11, 9.645400047300000e-01, -5.038225493362627e-03, 1.295924915658308e+00, 1.420915297944002e+02, 1.972994520487532e+01, 2.623787264936030e+05
12, 9.584699869160000e-01, -5.878077433056352e-03, 1.294612922375941e+00, 1.421116808976985e+02, 1.958207086493722e+01, 2.620030762448324e+05
13, 9.519400000570000e-01, -6.774428848839826e-03, 1.292796164348865e+00, 1.421572019570460e+02, 1.942846127382186e+01, 2.615346278986203e+05
14, 9.449599981310000e-01, -7.724467125531491e-03, 1.291499122604334e+00, 1.421478943519520e+02, 1.925822613361278e+01, 2.611634316425665e+05
15, 9.375399947170000e-01, -8.725349486403867e-03, 1.289614071904067e+00, 1.422058485028670e+02, 1.908892708921509e+01, 2.606889298632520e+05
16, 9.296900033950000e-01, -9.774221272349531e-03, 1.288559094425387e+00, 1.421272040079322e+02, 1.889312396873769e+01, 2.603772548013873e+05
17, 9.214000105860000e-01, -1.087086069705918e-02, 1.287107315397547e+00, 1.421554511736629e+02, 1.870456597278661e+01, 2.600039005077339e+05
18, 9.126999974250000e-01, -1.200973104171110e-02, 1.285948842490754e+00, 1.420293519580968e+02, 1.848846930072839e+01, 2.596778184275089e+05
19, 9.035800099370001e-01, -1.319055953446835e-02, 1.284957902412495e+00, 1.419281229476646e+02, 1.826974916593438e+01, 2.594006245740076e+05
20, 8.940600156780000e-01, -1.440916392228702e-02, 1.284155670944678e+00, 1.417146453549042e+02, 1.803071847415631e+01, 2.591517397458775e+05
21, 8.841500282290000e-01, -1.566269158090452e-02, 1.283052249124244e+00, 1.416959026378025e+02, 1.781119953114084e+01, 2.588546051722326e+05
22, 8.738499879840000e-01, -1.694956337677533e-02, 1.282517789070061e+00, 1.414503308692335e+02, 1.755811710376361e+01, 2.586725488499666e+05
23, 8.631799817090000e-01, -1.826569132102762e-02, 1.281625547251567e+00, 1.413003570006676e+02, 1.731258611651130e+01, 2.584249924754848e+05
24, 8.521599769590000e-01, -1.960709133914372e-02, 1.281593429055683e+00, 1.410230425556472e+02, 1.704698691944418e+01, 2.583563879021259e+05
25, 8.407700061800000e-01, -2.097463226217677e-02, 1.280722937671510e+00, 1.408485425752721e+02, 1.679015083136635e+01, 2.581191834493279e+05
26, 8.290500044819999e-01, -2.236196298315981e-02, 1.280642891019794e+00, 1.405965981124582e+02, 1.652000611634262e+01, 2.580518723110064e+05
27, 8.170099854470000e-01, -2.376642068849115e-02, 1.280343636078993e+00, 1.403897026486821e+02, 1.625134344772121e+01, 2.579492756065325e+05
28, 8.046399950980000e-01, -2.518763605296113e-02, 1.280468010883871e+00, 1.401436033362529e+02, 1.597440407836062e+01, 2.579377286469356e+05
29, 7.919700145720000e-01, -2.662062628442961e-02, 1.280265631605392e+00, 1.400809688588738e+02, 1.571403920931762e+01, 2.578754149536774e+05
30, 7.790099978450000e-01, -2.806276676215449e-02, 1.280381920493415e+00, 1.399249052279888e+02, 1.543880083162531e+01, 2.578842230523783e+05
31, 7.657799720760000e-01, -2.951033727360171e-02, 1.280495469946250e+00, 1.398459888918906e+02, 1.516719803629031e+01, 2.579058176079587e+05
32, 7.522799968720000e-01, -3.096181144522562e-02, 1.280940665602594e+00, 1.397451397335604e+02, 1.488806179351677e+01, 2.579997530481482e+05
33, 7.385200262070000e-01, -3.241453277608040e-02, 1.280998910025918e+00, 1.397376408436292e+02, 1.461302052714767e+01, 2.580194699290076e+05
34, 7.245299816130000e-01, -3.386376679305321e-02, 1.281488893590193e+00, 1.397351357106691e+02, 1.433208423043039e+01, 2.581357723148128e+05
35, 7.103199958800001e-01, -3.530689307158652e-02, 1.281709411543813e+00, 1.397332358882020e+02, 1.404397503535788e+01, 2.582051179743507e+05
36, 6.958900094030001e-01, -3.674225211597043e-02, 1.282242670234420e+00, 1.396656868107739e+02, 1.374189131693871e+01, 2.583311787055059e+05
37, 6.812700033190000e-01, -3.816515293304169e-02, 1.282598930953273e+00, 1.395822969951622e+02, 1.342984630897181e+01, 2.584147887646913e+05
38, 6.664699912070000e-01, -3.957289370556494e-02, 1.283134825265513e+00, 1.394602887299573e+02, 1.310541552894384e+01, 2.585399340092547e+05
39, 6.514999866490000e-01, -4.096270419333766e-02, 1.283634055767702e+00, 1.393353999820274e+02, 1.277098819805563e+01, 2.586559755316309e+05
40, 6.363800168040000e-01, -4.233084266562091e-02, 1.284146380605439e+00, 1.392080775464132e+02, 1.242603171506046e+01, 2.587787780395336e+05
41, 6.211299896240000e-01, -4.367359094194759e-02, 1.284669888255821e+00, 1.391457987648263e+02, 1.207513255747969e+01, 2.589015592758343e+05
42, 6.057599782940000e-01, -4.498807223669178e-02, 1.285161580330931e+00, 1.390679039017641e+02, 1.171030351046379e+01, 2.590270938994808e+05
43, 5.902799963950000e-01, -4.627132533375768e-02, 1.285786126305579e+00, 1.390008499755637e+02, 1.133239506885554e+01, 2.591747942890826e+05
44, 5.747100114820000e-01, -4.751950934859488e-02, 1.286325106907860e+00, 1.388776808250263e+02, 1.093513325337425e+01, 2.593035415389350e+05
45, 5.590599775310000e-01, -4.872955796694115e-02, 1.286923393351619e+00, 1.387805865235765e+02, 1.052399041839760e+01, 2.594412898748317e+05
46, 5.433599948880000e-01, -4.989683951066199e-02, 1.287594892605354e+00, 1.386911008062945e+02, 1.009610062584480e+01, 2.596003951713605e+05
47, 5.276100039480000e-01, -5.101897737545535e-02, 1.288167024335566e+00, 1.386662751341643e+02, 9.654426272793652e+00, 2.597443800661704e+05
48, 5.118399858470000e-01, -5.209138375948307e-02, 1.288724103998611e+00, 1.385704600087045e+02, 9.187844399726671e+00, 2.598828949331085e+05
49, 4.960500001910000e-01, -5.311153541819326e-02, 1.289264435638694e+00, 1.384936093981093e+02, 8.701466902631909e+00, 2.600132455008407e+05
50, 4.802699983120000e-01, -5.407492053959814e-02, 1.289876658828822e+00, 1.384998722612762e+02, 8.197723720235324e+00, 2.601648429100469e+05
51, 4.645099937920000e-01, -5.497835513414191e-02, 1.290422972274804e+00, 1.384478810192462e+02, 7.666127957629170e+00, 2.603025606593291e+05
52, 4.487800002100000e-01, -5.581859897363720e-02, 1.291065360036276e+00, 1.384796605315180e+02, 7.113971285095245e+00, 2.604631077204724e+05
53, 4.331099987030000e-01, -5.659141825851464e-02, 1.291700133467693e+00, 1.384529689634921e+02, 6.531151730254300e+00, 2.606298339365337e+05
54, 4.174999892710000e-01, -5.729416860686566e-02, 1.292353774017226e+00, 1.384613207715103e+02, 5.921921646593551e+00, 2.608034472906340e+05
55, 4.019699990750000e-01, -5.792324246601335e-02, 1.293048702576414e+00, 1.384710124649482e+02, 5.282213673403517e+00, 2.609944540436354e+05
56, 3.865399956700000e-01, -5.847520956655861e-02, 1.293715597612377e+00, 1.385037963467835e+02, 4.612077248522330e+00, 2.611804221022217e+05
57, 3.712300062180000e-01, -5.894684318665333e-02, 1.294551197467486e+00, 1.384658803272883e+02, 3.906042329927188e+00, 2.613957866057828e+05
58, 3.560400009160000e-01, -5.933561549045978e-02, 1.295269939616701e+00, 1.383667482106813e+02, 3.164740233306846e+00, 2.615750920804180e+05
59, 3.409900069240000e-01, -5.963847719943702e-02, 1.296212170605044e+00, 1.381390803331738e+02, 2.385766682892720e+00, 2.617854995543451e+05
60, 3.261100053790000e-01, -5.985254444802346e-02, 1.297097187279748e+00, 1.379003501797352e+02, 1.571429823030233e+00, 2.619869354790465e+05
61, 3.113999962810000e-01, -5.997565198183213e-02, 1.298087556454193e+00, 1.375142082197133e+02, 7.192839029856518e-01, 2.622027409175361e+05
62, 2.968699932100000e-01, -6.000550062925582e-02, 1.299038535342464e+00, 1.371466286888575e+02, -1.691595193144169e-01, 2.624151092628607e+05
63, 2.825500071050000e-01, -5.994005483718394e-02, 1.299992113584514e+00, 1.364781529237559e+02, -1.094191449625567e+00, 2.626114318969409e+05
