AoA_deg,CL_SU2,CL_experimental_interpolado,erro_percentual
0.0,0.000462,-0.0026,nan
2.0,0.25063,0.21794149999999998,14.9987496644742
4.0,0.501091,0.4418415,13.409672925698459
6.0,0.7515,0.6671853658536585,12.637362637362635
8.0,1.000297,0.889460487804878,12.46109453030997
10.0,1.245568,1.1117613065326635,12.035559492949966
12.0,1.468981,1.3063030303030303,12.45331029043334
14.0,1.578287,1.3923252631578946,13.35619928495233
16.0,0.510813,1.1388981981981983,-55.14849344672463
