"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1612,5.3079e+05,2.0028,807.54,-1.9749e-14,0,1e+05,-2.0788e-16,300,695.43,-1.7007e-14,0,1,0,0,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.8994e-14,0,1e+05,-2.2413e-16,300,695.43,-1.6357e-14,0,1,0.0025,0.0025,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.8239e-14,0,1e+05,-2.4037e-16,300,695.43,-1.5707e-14,0,1,0.005,0.005,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.7484e-14,0,1e+05,-2.5661e-16,300,695.43,-1.5057e-14,0,1,0.0075,0.0075,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.6729e-14,0,1e+05,-2.7285e-16,300,695.43,-1.4406e-14,0,1,0.01,0.01,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.5974e-14,0,1e+05,-2.8909e-16,300,695.43,-1.3756e-14,0,1,0.0125,0.0125,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.5219e-14,0,1e+05,-3.0533e-16,300,695.43,-1.3106e-14,0,1,0.015,0.015,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.4464e-14,0,1e+05,-3.2157e-16,300,695.43,-1.2456e-14,0,1,0.0175,0.0175,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.3709e-14,0,1e+05,-3.3781e-16,300,695.43,-1.1805e-14,0,1,0.02,0.02,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.1075e-14,0,1e+05,-3.4431e-16,300,695.43,-9.5375e-15,0,1,0.0225,0.0225,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-8.4415e-15,0,1e+05,-3.5081e-16,300,695.43,-7.2696e-15,0,1,0.025,0.025,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-5.8079e-15,0,1e+05,-3.573e-16,300,695.43,-5.0017e-15,0,1,0.0275,0.0275,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-3.1744e-15,0,1e+05,-3.638e-16,300,695.43,-2.7337e-15,0,1,0.03,0.03,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-5.409e-16,0,1e+05,-3.7029e-16,300,695.43,-4.6581e-16,0,1,0.0325,0.0325,0.5,0
1.1612,5.3079e+05,2.0028,807.54,2.0926e-15,0,1e+05,-3.7679e-16,300,695.43,1.8021e-15,0,1,0.035,0.035,0.5,0
1.1612,5.3079e+05,2.0028,807.54,4.7261e-15,0,1e+05,-3.8329e-16,300,695.43,4.07e-15,0,1,0.0375,0.0375,0.5,0
1.1612,5.3079e+05,2.0028,807.54,7.3597e-15,0,1e+05,-3.8978e-16,300,695.43,6.3379e-15,0,1,0.04,0.04,0.5,0
1.1612,5.3079e+05,2.0028,807.54,4.1726e-15,0,1e+05,-3.5081e-16,300,695.43,3.5933e-15,0,1,0.0425,0.0425,0.5,0
1.1612,5.3079e+05,2.0028,807.54,9.8554e-16,0,1e+05,-3.1183e-16,300,695.43,8.4872e-16,0,1,0.045,0.045,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-2.2015e-15,0,1e+05,-2.7285e-16,300,695.43,-1.8959e-15,0,1,0.0475,0.0475,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-5.3886e-15,0,1e+05,-2.3387e-16,300,695.43,-4.6405e-15,0,1,0.05,0.05,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-8.5756e-15,0,1e+05,-1.9489e-16,300,695.43,-7.3851e-15,0,1,0.0525,0.0525,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.1763e-14,0,1e+05,-1.5591e-16,300,695.43,-1.013e-14,0,1,0.055,0.055,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.495e-14,0,1e+05,-1.1694e-16,300,695.43,-1.2874e-14,0,1,0.0575,0.0575,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.8137e-14,0,1e+05,-7.7957e-17,300,695.43,-1.5619e-14,0,1,0.06,0.06,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.6418e-14,0,1e+05,-1.0719e-16,300,695.43,-1.4139e-14,0,1,0.0625,0.0625,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.47e-14,0,1e+05,-1.3642e-16,300,695.43,-1.2659e-14,0,1,0.065,0.065,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.2982e-14,0,1e+05,-1.6566e-16,300,695.43,-1.118e-14,0,1,0.0675,0.0675,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.1263e-14,0,1e+05,-1.9489e-16,300,695.43,-9.6997e-15,0,1,0.07,0.07,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-9.545e-15,0,1e+05,-2.2413e-16,300,695.43,-8.2199e-15,0,1,0.0725,0.0725,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-7.8266e-15,0,1e+05,-2.5336e-16,300,695.43,-6.7401e-15,0,1,0.075,0.075,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-6.1082e-15,0,1e+05,-2.8259e-16,300,695.43,-5.2602e-15,0,1,0.0775,0.0775,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-4.3899e-15,0,1e+05,-3.1183e-16,300,695.43,-3.7804e-15,0,1,0.08,0.08,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-8.3247e-15,0,1e+05,-3.0208e-16,300,695.43,-7.169e-15,0,1,0.0825,0.0825,0.5,0
