"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,     -0.4814595639,       2.346980287,       1.592365555,       5.253007815,            280000,     0.04150301343,     -0.2359861829,                 0,                 0,                 0,     -0.1895432128,     0.04150301343,     -0.2359861829,                 0,       -5.68600117
          0,           0,           1,     -0.7124642522,       2.066679528,       1.934659073,       5.018285442,            280000,     0.04564093093,     -0.2587370809,                 0,                 0,                 0,     -0.1967524433,     0.04564093093,     -0.2587370809,                 0,      -5.668970278
          0,           0,           2,     -0.8754014371,       1.893644231,       1.783076671,       4.867500486,            280000,     0.03935161954,     -0.2230897527,                 0,                 0,                 0,     -0.1672580917,     0.03935161954,     -0.2230897527,                 0,      -5.669137772
          0,           0,           3,       -1.24788614,       1.481113025,       1.437384973,       4.466488033,            280000,     0.04120484737,     -0.2338348797,                 0,                 0,                 0,     -0.1774455041,     0.04120484737,     -0.2338348797,                 0,      -5.674936193
          0,           0,           4,     -0.9914648398,       1.755693206,       1.700539855,       4.746227258,            280000,     0.04322167055,     -0.2453232297,                 0,                 0,                 0,       -0.18784479,     0.04322167055,     -0.2453232297,                 0,      -5.675931231
          0,           0,           5,      -1.265061445,       1.474356621,       1.398722897,       4.461098618,            280000,     0.04366255226,     -0.2478170699,                 0,                 0,                 0,     -0.1904394564,     0.04366255226,     -0.2478170699,                 0,       -5.67573486
          0,           0,           6,      -1.381103479,        1.37726752,       1.249907393,       4.332511312,            280000,     0.04376274954,     -0.2483948171,                 0,                 0,                 0,      -0.191422155,     0.04376274954,     -0.2483948171,                 0,      -5.675941747
          0,           0,           7,      -1.463301779,       1.314759073,       1.150338416,       4.255459461,            280000,     0.04391851638,     -0.2493368087,                 0,                 0,                 0,     -0.1924619081,     0.04391851638,     -0.2493368087,                 0,      -5.677259371
          0,           0,           8,      -1.568643405,       1.220518276,       1.023740544,       4.149110928,            280000,     0.04396631174,     -0.2496855129,                 0,                 0,                 0,     -0.1928021934,     0.04396631174,     -0.2496855129,                 0,      -5.679018844
          0,           0,           9,      -1.705227625,       1.093152445,      0.8691300099,       4.012187478,            280000,     0.04395301501,     -0.2496376726,                 0,                 0,                 0,     -0.1927601067,     0.04395301501,     -0.2496376726,                 0,      -5.679648428
          0,           0,          10,      -1.875457651,      0.9281187034,      0.6787785341,       3.842124423,            280000,     0.04394816844,      -0.249564874,                 0,                 0,                 0,     -0.1926874492,     0.04394816844,      -0.249564874,                 0,      -5.678618311
          0,           0,          11,      -2.068960466,      0.7305850433,      0.4952888489,       3.649866784,            280000,     0.04395151298,     -0.2495087829,                 0,                 0,                 0,     -0.1926151062,     0.04395151298,     -0.2495087829,                 0,      -5.676909986
          0,           0,          12,      -2.265970845,      0.5212949574,      0.3300743642,       3.452775669,            280000,     0.04395277438,     -0.2494623304,                 0,                 0,                 0,       -0.19255331,     0.04395277438,     -0.2494623304,                 0,      -5.675690191
          0,           0,          13,      -2.432519564,      0.3412899015,      0.1961070827,       3.286273822,            280000,     0.04395271038,     -0.2494528833,                 0,                 0,                 0,     -0.1925400758,     0.04395271038,     -0.2494528833,                 0,      -5.675483517
          0,           0,          14,      -2.573011147,      0.1961295117,     0.03401240892,       3.144331117,            280000,     0.04395282654,     -0.2494799586,                 0,                 0,                 0,     -0.1925725292,     0.04395282654,     -0.2494799586,                 0,      -5.676084525
          0,           0,          15,      -2.724104768,     0.04586960017,     -0.1076728318,       2.995648756,            280000,     0.04395286547,     -0.2495145336,                 0,                 0,                 0,     -0.1926148903,     0.04395286547,     -0.2495145336,                 0,      -5.676866137
          0,           0,          16,      -2.884453377,     -0.1144166469,     -0.2610964145,       2.837665476,            280000,      0.0439527497,     -0.2495377303,                 0,                 0,                 0,     -0.1926439722,      0.0439527497,     -0.2495377303,                 0,      -5.677408854
          0,           0,          17,      -3.056687847,     -0.2899104513,     -0.4319164206,        2.66511302,            280000,     0.04395267068,     -0.2495458766,                 0,                 0,                 0,      -0.192654675,     0.04395267068,     -0.2495458766,                 0,      -5.677604405
          0,           0,          18,      -3.239746345,     -0.4760841838,     -0.6076695982,       2.481583584,            280000,     0.04395266197,     -0.2495435234,                 0,                 0,                 0,     -0.1926521847,     0.04395266197,     -0.2495435234,                 0,       -5.67755199
          0,           0,          19,      -3.413520132,     -0.6519670166,     -0.7644290474,       2.309882365,            280000,     0.04395267308,     -0.2495371971,                 0,                 0,                 0,     -0.1926445268,     0.04395267308,     -0.2495371971,                 0,      -5.677406621
          0,           0,          20,      -3.578800496,     -0.8180408018,      -0.932024518,       2.144704958,            280000,     0.04395268527,     -0.2495311028,                 0,                 0,                 0,     -0.1926369891,     0.04395268527,     -0.2495311028,                 0,      -5.677266388
          0,           0,          21,      -3.742986065,     -0.9823883668,      -1.102876878,       1.979809274,            280000,     0.04395269683,     -0.2495272603,                 0,                 0,                 0,     -0.1926321655,     0.04395269683,     -0.2495272603,                 0,      -5.677177473
          0,           0,          22,      -3.911388306,      -1.149962696,      -1.276465008,       1.811766405,            280000,     0.04395270353,     -0.2495256739,                 0,                 0,                 0,     -0.1926301255,     0.04395270353,     -0.2495256739,                 0,      -5.677140514
          0,           0,          23,      -4.088241433,      -1.326394341,      -1.453605673,       1.635541429,            280000,     0.04395270435,     -0.2495255211,                 0,                 0,                 0,      -0.192629881,     0.04395270435,     -0.2495255211,                 0,      -5.677136931
          0,           0,          24,      -4.273483629,      -1.511380518,      -1.637556987,       1.450569986,            280000,     0.04395270204,      -0.249525986,                 0,                 0,                 0,     -0.1926304283,     0.04395270204,      -0.249525986,                 0,      -5.677147808
          0,           0,          25,       -4.46536416,      -1.702417033,       -1.83220121,       1.258804702,            280000,     0.04395269959,      -0.249526541,                 0,                 0,                 0,     -0.1926311065,     0.04395269959,      -0.249526541,                 0,      -5.677160751
          0,           0,          26,      -4.665610764,      -1.901642628,      -2.037376015,       1.058551972,            280000,     0.04395269812,     -0.2495269504,                 0,                 0,                 0,     -0.1926316146,     0.04395269812,     -0.2495269504,                 0,      -5.677170254
          0,           0,          27,      -4.875756927,      -2.110963128,      -2.248845862,      0.8481832694,            280000,     0.04395269754,     -0.2495271738,                 0,                 0,                 0,     -0.1926318959,     0.04395269754,     -0.2495271738,                 0,      -5.677175414
          0,           0,          28,      -5.091095062,      -2.324757124,      -2.463705254,      0.6326484292,            280000,     0.04395269742,     -0.2495272598,                 0,                 0,                 0,     -0.1926320066,     0.04395269742,     -0.2495272598,                 0,      -5.677177385
          0,           0,          29,      -5.305316317,       -2.53613695,       -2.68258965,       0.418311829,            280000,     0.04395269742,     -0.2495272731,                 0,                 0,                 0,     -0.1926320257,     0.04395269742,     -0.2495272731,                 0,      -5.677177687
          0,           0,          30,      -5.519825764,      -2.747810498,      -2.906902333,      0.2034992789,            280000,      0.0439526974,     -0.2495272594,                 0,                 0,                 0,       -0.19263201,      0.0439526974,     -0.2495272594,                 0,      -5.677177377
          0,           0,          31,      -5.741803491,      -2.967939399,      -3.136156127,    -0.01889846444,            280000,     0.04395269737,     -0.2495272411,                 0,                 0,                 0,     -0.1926319878,     0.04395269737,     -0.2495272411,                 0,      -5.677176967
          0,           0,          32,      -5.974748757,      -3.198887584,      -3.370201946,     -0.2520833869,            280000,     0.04395269734,     -0.2495272267,                 0,                 0,                 0,       -0.19263197,     0.04395269734,     -0.2495272267,                 0,      -5.677176643
          0,           0,          33,      -6.215778479,      -3.436349013,      -3.611790425,     -0.4932325917,            280000,     0.04395269734,     -0.2495272179,                 0,                 0,                 0,     -0.1926319589,     0.04395269734,     -0.2495272179,                 0,      -5.677176442
          0,           0,          34,      -6.461368602,      -3.677730883,      -3.861623243,     -0.7393024979,            280000,     0.04395269734,     -0.2495272136,                 0,                 0,                 0,     -0.1926319535,     0.04395269734,     -0.2495272136,                 0,      -5.677176344
          0,           0,          35,      -6.709149191,      -3.920957946,      -4.112140527,     -0.9879600263,            280000,     0.04395269735,     -0.2495272122,                 0,                 0,                 0,     -0.1926319517,     0.04395269735,     -0.2495272122,                 0,      -5.677176311
          0,           0,          36,      -6.951464981,      -4.156083637,      -4.354063971,      -1.230804882,            280000,     0.04395269735,     -0.2495272122,                 0,                 0,                 0,     -0.1926319516,     0.04395269735,     -0.2495272122,                 0,       -5.67717631
          0,           0,          37,      -7.172932438,      -4.368764436,      -4.588903054,       -1.45239418,            280000,     0.04395269736,     -0.2495272126,                 0,                 0,                 0,     -0.1926319521,     0.04395269736,     -0.2495272126,                 0,      -5.677176319
          0,           0,          38,      -7.368103726,      -4.557604086,      -4.812025889,      -1.648532704,            280000,     0.04395269736,      -0.249527213,                 0,                 0,                 0,     -0.1926319526,     0.04395269736,      -0.249527213,                 0,      -5.677176328
          0,           0,          39,      -7.548712179,      -4.735748741,      -5.008602682,      -1.831356206,            280000,     0.04395269736,     -0.2495272133,                 0,                 0,                 0,      -0.192631953,     0.04395269736,     -0.2495272133,                 0,      -5.677176334
          0,           0,          40,       -7.71897471,      -4.906387676,       -5.18434658,       -2.00413806,            280000,     0.04395269736,     -0.2495272134,                 0,                 0,                 0,     -0.1926319531,     0.04395269736,     -0.2495272134,                 0,      -5.677176337
          0,           0,          41,      -7.878680096,      -5.066384071,      -5.352049376,       -2.16564139,            280000,     0.04395269736,     -0.2495272135,                 0,                 0,                 0,     -0.1926319532,     0.04395269736,     -0.2495272135,                 0,      -5.677176338
          0,           0,          42,      -8.037248033,      -5.225875486,       -5.51852205,      -2.325539767,            280000,     0.04395269736,     -0.2495272135,                 0,                 0,                 0,     -0.1926319532,     0.04395269736,     -0.2495272135,                 0,      -5.677176338
          0,           0,          43,      -8.198935027,      -5.391243857,       -5.68683114,      -2.489095833,            280000,     0.04395269736,     -0.2495272135,                 0,                 0,                 0,     -0.1926319532,     0.04395269736,     -0.2495272135,                 0,      -5.677176338
          0,           0,          44,      -8.362284963,      -5.558070323,      -5.852890313,      -2.654522166,            280000,     0.04395269736,     -0.2495272135,                 0,                 0,                 0,     -0.1926319532,     0.04395269736,     -0.2495272135,                 0,      -5.677176338
          0,           0,          45,      -8.530974092,      -5.727426992,      -6.017674552,      -2.824202385,            280000,     0.04395269736,     -0.2495272134,                 0,                 0,                 0,     -0.1926319532,     0.04395269736,     -0.2495272134,                 0,      -5.677176338
          0,           0,          46,      -8.705587573,      -5.902721345,      -6.187227945,      -2.999122975,            280000,     0.04395269736,     -0.2495272134,                 0,                 0,                 0,     -0.1926319532,     0.04395269736,     -0.2495272134,                 0,      -5.677176338
          0,           0,          47,      -8.879995654,      -6.079893852,      -6.362670458,      -3.174412492,            280000,     0.04395269736,     -0.2495272134,                 0,                 0,                 0,     -0.1926319532,     0.04395269736,     -0.2495272134,                 0,      -5.677176338
          0,           0,          48,      -9.052513128,      -6.254790983,      -6.539552262,      -3.347783881,            280000,     0.04395269736,     -0.2495272134,                 0,                 0,                 0,     -0.1926319532,     0.04395269736,     -0.2495272134,                 0,      -5.677176338
          0,           0,          49,      -9.229219865,      -6.432113545,      -6.718630317,      -3.524379256,            280000,     0.04395269736,     -0.2495272134,                 0,                 0,                 0,     -0.1926319532,     0.04395269736,     -0.2495272134,                 0,      -5.677176338
