"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1612,5.3079e+05,2.0028,807.54,-1.1963e-13,0,1e+05,-4.0927e-16,300,695.43,-1.0302e-13,0,1,0.095,0.095,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.1892e-13,0,1e+05,-3.9953e-16,300,695.43,-1.0241e-13,0,1,0.0975,0.0975,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.182e-13,0,1e+05,-3.8978e-16,300,695.43,-1.0179e-13,0,1,0.1,0.1,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.1805e-13,0,1e+05,-4.0927e-16,300,695.43,-1.0166e-13,0,1,0.1025,0.1025,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.179e-13,0,1e+05,-4.2876e-16,300,695.43,-1.0153e-13,0,1,0.105,0.105,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.1774e-13,0,1e+05,-4.4825e-16,300,695.43,-1.014e-13,0,1,0.1075,0.1075,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.1759e-13,0,1e+05,-4.6774e-16,300,695.43,-1.0127e-13,0,1,0.11,0.11,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.1744e-13,0,1e+05,-4.8723e-16,300,695.43,-1.0113e-13,0,1,0.1125,0.1125,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.1729e-13,0,1e+05,-5.0672e-16,300,695.43,-1.01e-13,0,1,0.115,0.115,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.1713e-13,0,1e+05,-5.2621e-16,300,695.43,-1.0087e-13,0,1,0.1175,0.1175,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.1698e-13,0,1e+05,-5.457e-16,300,695.43,-1.0074e-13,0,1,0.12,0.12,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.1615e-13,0,1e+05,-5.392e-16,300,695.43,-1.0002e-13,0,1,0.1225,0.1225,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.1531e-13,0,1e+05,-5.327e-16,300,695.43,-9.9301e-14,0,1,0.125,0.125,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.1447e-13,0,1e+05,-5.2621e-16,300,695.43,-9.8581e-14,0,1,0.1275,0.1275,0.5,0
