"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.632896519016437e-05, 1.369964634032168e+00, 7.134715468096472e+01, 1.036357522918839e+01, 2.739251467874347e+05
1, 9.990000128750000e-01, -1.452537504052920e-04, 1.320613392688133e+00, 8.861612664836500e+01, 1.285954728089239e+01, 2.644022126670754e+05
2, 9.977599978450000e-01, -3.251111630156300e-04, 1.319371543300387e+00, 9.905683216720091e+01, 1.435145706974091e+01, 2.643717691766808e+05
3, 9.960200190539999e-01, -5.769983605901485e-04, 1.313647212876386e+00, 1.026172979444232e+02, 1.483382375136754e+01, 2.633137960831591e+05
4, 9.937800168990000e-01, -9.004365425509819e-04, 1.311796428480704e+00, 1.051384126440034e+02, 1.515438956559199e+01, 2.630041993695754e+05
5, 9.910500049590000e-01, -1.293363843462116e-03, 1.310265477485750e+00, 1.069247085472825e+02, 1.535774198561902e+01, 2.627421039713551e+05
6, 9.878399968150000e-01, -1.753609743384430e-03, 1.309184832293639e+00, 1.083168756716752e+02, 1.549331752282300e+01, 2.625606604069715e+05
7, 9.841300249100000e-01, -2.283176811071472e-03, 1.308275813854890e+00, 1.094420919860026e+02, 1.558014758922177e+01, 2.624072193699710e+05
8, 9.799500107769999e-01, -2.876826092032643e-03, 1.307515105342553e+00, 1.103859591460891e+02, 1.563042663537733e+01, 2.622790340125180e+05
9, 9.752799868580000e-01, -3.536324145770189e-03, 1.306857412938643e+00, 1.111970665309563e+02, 1.565200926733881e+01, 2.621681922482736e+05
10, 9.701499938960000e-01, -4.256268552403566e-03, 1.306284821274735e+00, 1.119042846596287e+02, 1.564892696548317e+01, 2.620717776952229e+05
11, 9.645400047300000e-01, -5.038225493362627e-03, 1.305777047664170e+00, 1.125252080619706e+02, 1.562450964667145e+01, 2.619861543179349e+05
12, 9.584699869160000e-01, -5.878077433056352e-03, 1.305329143335457e+00, 1.130758690233089e+02, 1.558116114373087e+01, 2.619107052436710e+05
13, 9.519400000570000e-01, -6.774428848839826e-03, 1.304929682437601e+00, 1.135642153455848e+02, 1.552064920149433e+01, 2.618433379834386e+05
14, 9.449599981310000e-01, -7.724467125531491e-03, 1.304575370862807e+00, 1.139995477730785e+02, 1.544472138532376e+01, 2.617836148207445e+05
15, 9.375399947170000e-01, -8.725349486403867e-03, 1.304260580574892e+00, 1.143869433312380e+02, 1.535462948669325e+01, 2.617305337299246e+05
16, 9.296900033950000e-01, -9.774221272349531e-03, 1.303981912841097e+00, 1.147315953108535e+02, 1.525143531479813e+01, 2.616835412485554e+05
17, 9.214000105860000e-01, -1.087086069705918e-02, 1.303735418732647e+00, 1.150376045251511e+02, 1.513640955830191e+01, 2.616419511645427e+05
18, 9.126999974250000e-01, -1.200973104171110e-02, 1.303519888097795e+00, 1.153086151896738e+02, 1.501017120410551e+01, 2.616056094461606e+05
19, 9.035800099370001e-01, -1.319055953446835e-02, 1.303331912715108e+00, 1.155466627696387e+02, 1.487375179081911e+01, 2.615738885604166e+05
