"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.171840999,      0.7868563698,     0.03050770222,       4.274345683
          0,           0,           1,      -1.545006593,       0.772474276,       1.028923406,       3.912384107
          0,           0,           2,      -1.506395217,      0.9446433065,       1.027655098,        3.95274644
          0,           0,           3,      -1.507589127,       1.056330683,       1.108662035,       3.947047241
          0,           0,           4,      -1.475616149,       1.095405578,        1.11382171,       3.969189466
          0,           0,           5,       -1.45265223,       1.082942738,       1.085107854,       3.990773534
          0,           0,           6,      -1.443765281,       1.054838807,       1.069881365,        4.00696297
          0,           0,           7,      -1.449389716,       1.027866129,       1.090488114,       4.004052014
          0,           0,           8,      -1.451415943,       1.016783126,       1.105520073,       3.995191833
          0,           0,           9,      -1.461508382,       1.029031237,       1.095509286,       3.979620301
          0,           0,          10,      -1.463258232,       1.052888154,       1.086057956,       3.980835274
          0,           0,          11,      -1.468738673,       1.061659363,       1.080429811,       3.978354976
          0,           0,          12,      -1.487057763,       1.054777606,       1.060444684,       3.956426306
          0,           0,          13,       -1.52413698,       1.034637817,       1.012426786,       3.912609077
          0,           0,          14,      -1.562571795,       1.007331579,      0.9488281252,       3.871632374
          0,           0,          15,      -1.599128168,      0.9806388729,      0.8902995881,       3.840660744
          0,           0,          16,      -1.637989344,      0.9636693638,      0.8658043247,       3.812198065
          0,           0,          17,      -1.675045491,      0.9624426599,      0.8796012281,       3.782610549
          0,           0,          18,      -1.702393844,      0.9707508671,      0.9039344832,       3.752967636
          0,           0,          19,      -1.725445475,       0.964829146,      0.9084368561,       3.718555484
          0,           0,          20,      -1.738629968,        0.95732344,      0.9042235599,       3.693127484
          0,           0,          21,      -1.746132049,      0.9467712082,      0.8913215879,       3.677129889
          0,           0,          22,      -1.753591337,      0.9327350184,      0.8710137716,       3.666644392
          0,           0,          23,      -1.766081505,      0.9155322449,      0.8447727966,       3.655770759
          0,           0,          24,      -1.784104753,      0.8966335473,      0.8139758111,       3.643134662
          0,           0,          25,      -1.805152602,      0.8777215674,      0.7815499001,       3.629811489
          0,           0,          26,      -1.826060741,      0.8610180858,      0.7523795912,       3.617318261
          0,           0,          27,      -1.844795666,      0.8490098483,      0.7333832493,       3.605821467
          0,           0,          28,       -1.86215528,      0.8429415233,      0.7292151917,        3.59251295
          0,           0,          29,      -1.878142189,      0.8430423145,      0.7386296423,       3.576532222
          0,           0,          30,      -1.891594958,      0.8466471316,      0.7540084095,        3.55864043
          0,           0,          31,      -1.899911023,       0.850902751,      0.7682665473,       3.542767994
          0,           0,          32,      -1.900811881,      0.8537694993,      0.7781209527,       3.533942879
          0,           0,          33,      -1.896905319,      0.8533469791,      0.7822315743,       3.532061129
          0,           0,          34,      -1.891376497,      0.8491146817,       0.781162978,       3.535057497
