"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.632896519016437e-05, 1.368742016372825e+00, 6.909620444691291e+01, 1.003661205606584e+01, 2.736463687785415e+05
1, 9.990000128750000e-01, -1.452537504052920e-04, 1.321680754566645e+00, 8.823872947196347e+01, 1.280478121271767e+01, 2.646056068939703e+05
2, 9.977599978450000e-01, -3.251111630156300e-04, 1.319182397945671e+00, 9.919617515914938e+01, 1.437164522761967e+01, 2.643357005718193e+05
3, 9.960200190539999e-01, -5.769983605901485e-04, 1.313169423300826e+00, 1.032648163670661e+02, 1.492742565231466e+01, 2.632321554659739e+05
4, 9.937800168990000e-01, -9.004365425509819e-04, 1.310913703656272e+00, 1.062156467010831e+02, 1.530965940601897e+01, 2.628526776174862e+05
5, 9.910500049590000e-01, -1.293363843462116e-03, 1.309037697728341e+00, 1.084131944953829e+02, 1.557153525614804e+01, 2.625324673511357e+05
6, 9.878399968150000e-01, -1.753609743384430e-03, 1.307614586512920e+00, 1.101879824351866e+02, 1.576095496182731e+01, 2.622929393005061e+05
7, 9.841300249100000e-01, -2.283176811071472e-03, 1.306381772027344e+00, 1.116830024042920e+02, 1.589916301023827e+01, 2.620849551299757e+05
8, 9.799500107769999e-01, -2.876826092032643e-03, 1.305292343826794e+00, 1.129817109224337e+02, 1.599797979174851e+01, 2.619009952258708e+05
9, 9.752799868580000e-01, -3.536324145770189e-03, 1.304315420127551e+00, 1.141412449137897e+02, 1.606642943840253e+01, 2.617361988043416e+05
10, 9.701499938960000e-01, -4.256268552403566e-03, 1.303423200182471e+00, 1.151900390953166e+02, 1.610841367187973e+01, 2.615856586983688e+05
11, 9.645400047300000e-01, -5.038225493362627e-03, 1.302597462565107e+00, 1.161482807170453e+02, 1.612758566515308e+01, 2.614461990672220e+05
12, 9.584699869160000e-01, -5.878077433056352e-03, 1.301831710897628e+00, 1.170335801747912e+02, 1.612650946378759e+01, 2.613169270798982e+05
13, 9.519400000570000e-01, -6.774428848839826e-03, 1.301114003269810e+00, 1.178542911596444e+02, 1.610696736127801e+01, 2.611956475000989e+05
14, 9.449599981310000e-01, -7.724467125531491e-03, 1.300441051639454e+00, 1.186209985504544e+02, 1.607083807653928e+01, 2.610819508772551e+05
15, 9.375399947170000e-01, -8.725349486403867e-03, 1.299806532737525e+00, 1.193391928022933e+02, 1.601939028491158e+01, 2.609747004941914e+05
16, 9.296900033950000e-01, -9.774221272349531e-03, 1.299206764325138e+00, 1.200147678470723e+02, 1.595373500804211e+01, 2.608732995887473e+05
17, 9.214000105860000e-01, -1.087086069705918e-02, 1.298636636084187e+00, 1.206527235922911e+02, 1.587523528638103e+01, 2.607768509000788e+05
18, 9.126999974250000e-01, -1.200973104171110e-02, 1.298095679939439e+00, 1.212578769743630e+02, 1.578460976429870e+01, 2.606853750183801e+05
19, 9.035800099370001e-01, -1.319055953446835e-02, 1.297579209939850e+00, 1.218317319270851e+02, 1.568279773291863e+01, 2.605979718865473e+05
20, 8.940600156780000e-01, -1.440916392228702e-02, 1.297087078125932e+00, 1.223775207502745e+02, 1.557044135998617e+01, 2.605146885413312e+05
21, 8.841500282290000e-01, -1.566269158090452e-02, 1.296618208994086e+00, 1.228980744980995e+02, 1.544828172132918e+01, 2.604353799051375e+05
22, 8.738499879840000e-01, -1.694956337677533e-02, 1.296166376549873e+00, 1.233950645109301e+02, 1.531695795466852e+01, 2.603588499611844e+05
23, 8.631799817090000e-01, -1.826569132102762e-02, 1.295736553251756e+00, 1.238713377051514e+02, 1.517710356662074e+01, 2.602861561372214e+05
24, 8.521599769590000e-01, -1.960709133914372e-02, 1.295321570791544e+00, 1.243266949417009e+02, 1.502873903496000e+01, 2.602158651948135e+05
