"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.632896519016437e-05, 1.368518281318216e+00, 6.909289618464820e+01, 1.003613151237756e+01, 2.736016130700124e+05
1, 9.990000128750000e-01, -1.452537504052920e-04, 1.321458128279846e+00, 8.830855397255348e+01, 1.281491380935549e+01, 2.645625484632969e+05
2, 9.977599978450000e-01, -3.251111630156300e-04, 1.318894851786744e+00, 9.932336073628848e+01, 1.439007200657171e+01, 2.642812113775071e+05
3, 9.960200190539999e-01, -5.769983605901485e-04, 1.312831052981270e+00, 1.034517863562141e+02, 1.495445306310988e+01, 2.631690941778973e+05
4, 9.937800168990000e-01, -9.004365425509819e-04, 1.310518534958236e+00, 1.064640543019068e+02, 1.534546426039065e+01, 2.627799405360532e+05
5, 9.910500049590000e-01, -1.293363843462116e-03, 1.308586615079718e+00, 1.087244026105663e+02, 1.561623450295762e+01, 2.624502960846890e+05
6, 9.878399968150000e-01, -1.753609743384430e-03, 1.307104733763461e+00, 1.105613548041690e+02, 1.581436101356688e+01, 2.622007801987598e+05
7, 9.841300249100000e-01, -2.283176811071472e-03, 1.305813491707524e+00, 1.121200433982612e+02, 1.596138005183272e+01, 2.619829394247458e+05
8, 9.799500107769999e-01, -2.876826092032643e-03, 1.304662151559780e+00, 1.134827681316487e+02, 1.606892847044566e+01, 2.617884640794993e+05
9, 9.752799868580000e-01, -3.536324145770189e-03, 1.303622624422675e+00, 1.147076088547361e+02, 1.614615036926607e+01, 2.616130709178597e+05
10, 9.701499938960000e-01, -4.256268552403566e-03, 1.302665745408708e+00, 1.158226161312533e+02, 1.619687455489968e+01, 2.614515709829005e+05
11, 9.645400047300000e-01, -5.038225493362627e-03, 1.301773706058566e+00, 1.168481142284899e+02, 1.622475993960927e+01, 2.613008727817829e+05
12, 9.584699869160000e-01, -5.878077433056352e-03, 1.300939979238395e+00, 1.178018096218285e+02, 1.623236676926099e+01, 2.611600793977602e+05
13, 9.519400000570000e-01, -6.774428848839826e-03, 1.300152609084031e+00, 1.186918996720948e+02, 1.622144204726291e+01, 2.610269875069695e+05
14, 9.449599981310000e-01, -7.724467125531491e-03, 1.299408437698606e+00, 1.195290840401959e+02, 1.619386599775706e+01, 2.609012161189857e+05
15, 9.375399947170000e-01, -8.725349486403867e-03, 1.298701104346918e+00, 1.203187773644152e+02, 1.615088394638321e+01, 2.607816181831058e+05
16, 9.296900033950000e-01, -9.774221272349531e-03, 1.298026934368941e+00, 1.210669157064427e+02, 1.609359853015611e+01, 2.606675990546448e+05
17, 9.214000105860000e-01, -1.087086069705918e-02, 1.297380615256664e+00, 1.217785577851359e+02, 1.602337021590142e+01, 2.605582226763284e+05
18, 9.126999974250000e-01, -1.200973104171110e-02, 1.296761937950466e+00, 1.224586759181355e+02, 1.594092243614230e+01, 2.604535650923278e+05
19, 9.035800099370001e-01, -1.319055953446835e-02, 1.296165954345680e+00, 1.231086283315395e+02, 1.584716630686196e+01, 2.603526695644154e+05
20, 8.940600156780000e-01, -1.440916392228702e-02, 1.295592666303243e+00, 1.237316605865633e+02, 1.574273243749763e+01, 2.602556129394058e+05
21, 8.841500282290000e-01, -1.566269158090452e-02, 1.295041213060517e+00, 1.243308300536931e+02, 1.562837902189231e+01, 2.601622988738383e+05
22, 8.738499879840000e-01, -1.694956337677533e-02, 1.294504443822297e+00, 1.249076353534700e+02, 1.550471249809042e+01, 2.600713430926827e+05
23, 8.631799817090000e-01, -1.826569132102762e-02, 1.293988491563205e+00, 1.254651373745820e+02, 1.537238088497738e+01, 2.599840390461393e+05
24, 8.521599769590000e-01, -1.960709133914372e-02, 1.293485099699130e+00, 1.260029559783613e+02, 1.523136719687936e+01, 2.598987320954654e+05
25, 8.407700061800000e-01, -2.097463226217677e-02, 1.292997711830400e+00, 1.265254767870304e+02, 1.508272883463773e+01, 2.598162235379525e+05
26, 8.290500044819999e-01, -2.236196298315981e-02, 1.292521727481045e+00, 1.270318678519406e+02, 1.492616956976182e+01, 2.597355718887367e+05
27, 8.170099854470000e-01, -2.376642068849115e-02, 1.292057931747370e+00, 1.275243030656327e+02, 1.476205859856313e+01, 2.596569897873299e+05
28, 8.046399950980000e-01, -2.518763605296113e-02, 1.291602854524294e+00, 1.280042175272045e+02, 1.459068605923570e+01, 2.595798267253429e+05
29, 7.919700145720000e-01, -2.662062628442961e-02, 1.291157873763626e+00, 1.284734519518602e+02, 1.441193939183870e+01, 2.595044039164226e+05
30, 7.790099978450000e-01, -2.806276676215449e-02, 1.290722252613867e+00, 1.289288199184390e+02, 1.422552207755474e+01, 2.594304804929830e+05
31, 7.657799720760000e-01, -2.951033727360171e-02, 1.290300608152170e+00, 1.293775848930237e+02, 1.403185132585391e+01, 2.593591765299363e+05
32, 7.522799968720000e-01, -3.096181144522562e-02, 1.289880674070716e+00, 1.298162198980162e+02, 1.383024323628511e+01, 2.592879570440013e+05
33, 7.385200262070000e-01, -3.241453277608040e-02, 1.289470303824128e+00, 1.302496430545843e+02, 1.362084469819074e+01, 2.592185178328911e+05
34, 7.245299816130000e-01, -3.386376679305321e-02, 1.289061330274395e+00, 1.306761750905261e+02, 1.340291396914545e+01, 2.591491895962343e+05
35, 7.103199958800001e-01, -3.530689307158652e-02, 1.288658127691070e+00, 1.310943482197385e+02, 1.317575151614684e+01, 2.590807931298504e+05
36, 6.958900094030001e-01, -3.674225211597043e-02, 1.288260511952434e+00, 1.315094087078997e+02, 1.293935148257950e+01, 2.590134436120153e+05
37, 6.812700033190000e-01, -3.816515293304169e-02, 1.287865152284002e+00, 1.319183127373865e+02, 1.269249597251302e+01, 2.589463892680946e+05
38, 6.664699912070000e-01, -3.957289370556494e-02, 1.287474458377760e+00, 1.323257654241721e+02, 1.243493129127679e+01, 2.588802446014755e+05
39, 6.514999866490000e-01, -4.096270419333766e-02, 1.287083121883441e+00, 1.327265309770640e+02, 1.216528113908823e+01, 2.588138017691030e+05
40, 6.363800168040000e-01, -4.233084266562091e-02, 1.286698259570239e+00, 1.331281650559281e+02, 1.188328659431060e+01, 2.587486928806772e+05
41, 6.211299896240000e-01, -4.367359094194759e-02, 1.286310005959303e+00, 1.335223585807721e+02, 1.158716895488334e+01, 2.586827159554136e+05
42, 6.057599782940000e-01, -4.498807223669178e-02, 1.285929420908971e+00, 1.339185074730474e+02, 1.127665442192514e+01, 2.586183403912836e+05
43, 5.902799963950000e-01, -4.627132533375768e-02, 1.285543794411010e+00, 1.343069289962359e+02, 1.094975548624057e+01, 2.585527593013759e+05
44, 5.747100114820000e-01, -4.751950934859488e-02, 1.285166852132590e+00, 1.346978870547627e+02, 1.060597506429486e+01, 2.584889977118319e+05
45, 5.590599775310000e-01, -4.872955796694115e-02, 1.284784136048170e+00, 1.350801059284032e+02, 1.024337608102795e+01, 2.584238546843967e+05
46, 5.433599948880000e-01, -4.989683951066199e-02, 1.284411779064149e+00, 1.354646528219098e+02, 9.861229438544131e+00, 2.583608579747709e+05
47, 5.276100039480000e-01, -5.101897737545535e-02, 1.284032071510269e+00, 1.358386455258342e+02, 9.457608908650144e+00, 2.582961139539045e+05
