"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.344465464,      0.6007667995,    0.005824236572,       4.101721218
          0,           0,           1,      -1.726562764,      0.6347876805,      0.8515865018,       3.732543007
          0,           0,           2,      -1.692670305,       0.768390639,      0.8311747142,       3.766004724
          0,           0,           3,      -1.696023823,       0.856390666,      0.8992190266,       3.757225947
          0,           0,           4,      -1.667706812,      0.8815465946,      0.9000062827,       3.777857926
          0,           0,           5,      -1.641474321,      0.8631924119,      0.8739369281,       3.804302068
          0,           0,           6,      -1.625563692,      0.8495298669,      0.8674116553,       3.828114077
          0,           0,           7,      -1.629266012,      0.8458726744,      0.8972550033,       3.825736066
          0,           0,           8,      -1.624778846,      0.8320074894,      0.9084533597,       3.820251701
          0,           0,           9,      -1.615236157,      0.8292869324,      0.8917784498,       3.825541706
          0,           0,          10,      -1.612949245,      0.8582495031,      0.8896699402,       3.834793811
          0,           0,          11,       -1.61266889,      0.8836487962,      0.9093486932,       3.838477731
          0,           0,          12,      -1.619391276,      0.8807428499,      0.9084157605,       3.824437283
          0,           0,          13,      -1.639671154,      0.8514022362,      0.8614957885,       3.795055544
          0,           0,          14,      -1.667179601,      0.8103528232,      0.7822451047,       3.769361181
          0,           0,          15,      -1.695607619,      0.7856851529,      0.7355032235,       3.753412149
          0,           0,          16,      -1.731920141,      0.7817139011,      0.7441306719,       3.724347947
          0,           0,          17,      -1.769267259,        0.78739818,      0.7642086765,       3.683127518
          0,           0,          18,      -1.790764889,      0.7946570855,      0.7744244935,       3.649822857
          0,           0,          19,      -1.803629205,      0.7876268613,      0.7615640816,        3.62444133
          0,           0,          20,      -1.821346983,       0.763060124,      0.7262134009,       3.600443864
          0,           0,          21,      -1.851354355,       0.725662645,      0.6742189794,       3.572650727
          0,           0,          22,      -1.890714463,      0.6846425432,      0.6196219382,       3.539794129
          0,           0,          23,       -1.93260772,      0.6465938747,      0.5694272498,       3.505268531
          0,           0,          24,      -1.972147682,      0.6180488127,      0.5297681986,       3.473743573
          0,           0,          25,      -2.004466915,      0.6028073776,      0.5099714129,       3.447116558
          0,           0,          26,      -2.027582063,      0.6002612895,       0.512166984,       3.425017683
          0,           0,          27,      -2.043344162,      0.6064994182,      0.5291194473,       3.405185094
          0,           0,          28,       -2.05412704,      0.6177685231,      0.5519360803,       3.386734194
          0,           0,          29,      -2.062816878,      0.6281411648,      0.5712940405,       3.368754053
          0,           0,          30,      -2.070093837,      0.6340233848,       0.582877923,       3.353063212
          0,           0,          31,      -2.076063505,      0.6332378705,      0.5848735286,       3.341656207
          0,           0,          32,      -2.081373247,      0.6246929266,      0.5766626848,       3.334833535
          0,           0,          33,      -2.086947253,      0.6081855523,      0.5580076634,       3.331592568
          0,           0,          34,      -2.095545212,      0.5835498265,      0.5293660777,       3.327671222
          0,           0,          35,       -2.10826577,      0.5522365167,      0.4928572981,       3.320904345
          0,           0,          36,      -2.125188025,      0.5174329739,      0.4531555314,       3.310537609
          0,           0,          37,      -2.145417047,      0.4844017505,      0.4182188898,       3.296964684
          0,           0,          38,      -2.166622513,      0.4601141726,      0.3978403423,       3.282365798
          0,           0,          39,      -2.187035164,      0.4495007464,      0.3970653198,       3.266866348
          0,           0,          40,      -2.204408738,      0.4516201102,      0.4106717195,       3.251457901
          0,           0,          41,      -2.217390133,      0.4608437247,      0.4286298081,       3.236831319
          0,           0,          42,       -2.22639601,      0.4708083686,      0.4427623859,       3.223030421
          0,           0,          43,      -2.232572344,      0.4780175525,      0.4493152722,       3.210506617
          0,           0,          44,      -2.239939356,      0.4787756656,      0.4454265371,        3.19665742
          0,           0,          45,      -2.250344529,      0.4722992597,       0.431053834,       3.181132169
          0,           0,          46,      -2.264004927,      0.4590695895,      0.4071642073,       3.164819347
          0,           0,          47,      -2.279751902,      0.4404366254,      0.3755956251,       3.149552599
          0,           0,          48,      -2.294946962,      0.4188733565,      0.3390924269,       3.138535173
          0,           0,          49,      -2.308867933,        0.39734451,      0.3034481973,        3.13124196
          0,           0,          50,      -2.320948389,      0.3797572607,      0.2758937979,       3.126632013
          0,           0,          51,      -2.331761326,      0.3695454937,      0.2627130328,       3.122355232
          0,           0,          52,      -2.342454988,      0.3676561871,      0.2647262805,       3.115710239
          0,           0,          53,      -2.352630413,      0.3727856441,      0.2772269314,       3.106247153
          0,           0,          54,      -2.363600972,      0.3786987864,      0.2899563341,        3.09126979
          0,           0,          55,      -2.374111284,      0.3802702802,      0.2948808233,       3.072469826
          0,           0,          56,      -2.382487492,      0.3744346231,      0.2874716486,       3.053885917
          0,           0,          57,      -2.388010457,      0.3604981931,      0.2665540641,       3.040263518
          0,           0,          58,      -2.390508294,      0.3401934935,      0.2340095438,       3.035778994
          0,           0,          59,       -2.39408769,      0.3172045461,      0.1974168035,       3.036813391
          0,           0,          60,      -2.401370235,      0.2968156443,      0.1682776901,       3.038115507
          0,           0,          61,      -2.413960375,      0.2831210231,      0.1555787802,       3.034280979
          0,           0,          62,      -2.432215803,      0.2766051113,       0.157327046,       3.021712503
          0,           0,          63,      -2.454456447,      0.2750489158,      0.1635841765,       3.000499358
          0,           0,          64,      -2.479461283,      0.2732111574,      0.1621920321,        2.97103273
          0,           0,          65,      -2.503985395,       0.267786283,      0.1477491938,       2.938941996
          0,           0,          66,       -2.52442814,      0.2580558399,      0.1211101706,       2.912412458
          0,           0,          67,       -2.53830254,      0.2453648433,     0.08866272464,        2.89790076
          0,           0,          68,      -2.544200729,      0.2324501949,     0.06095330932,       2.897209725
          0,           0,          69,      -2.546226928,      0.2208496914,       0.047285049,       2.901673403
          0,           0,          70,      -2.548400003,      0.2110047823,     0.04643909106,        2.90356516
          0,           0,          71,      -2.554296583,      0.2020184349,     0.04913265091,       2.898207875
          0,           0,          72,      -2.565746487,      0.1925781583,     0.04638009907,       2.884621678
          0,           0,          73,      -2.581216072,      0.1825611348,      0.0343650179,       2.866273746
          0,           0,          74,      -2.597945731,      0.1721831793,     0.01413108536,       2.847138436
          0,           0,          75,      -2.609938464,      0.1631615868,   -0.007474522679,       2.833953758
          0,           0,          76,      -2.612364329,      0.1571282293,    -0.02144362244,       2.831086967
          0,           0,          77,      -2.605701852,      0.1540328051,    -0.02300600938,       2.837041312
          0,           0,          78,      -2.593825082,      0.1523660085,    -0.01476080203,        2.84788745
          0,           0,          79,      -2.586222188,      0.1481020489,    -0.00684811614,       2.854274526
          0,           0,          80,      -2.588035582,      0.1387904047,   -0.006844311395,       2.852070134
          0,           0,          81,      -2.600679363,      0.1242463519,    -0.01726521107,       2.840734772
          0,           0,          82,      -2.621907336,      0.1067255294,    -0.03579608623,       2.822809771
          0,           0,          83,      -2.645100916,      0.0907193474,    -0.05587482064,       2.804612535
          0,           0,          84,      -2.663214715,     0.07978375597,    -0.06950189256,       2.790325252
          0,           0,          85,      -2.670524865,     0.07467899263,    -0.07268202679,       2.783202954
          0,           0,          86,      -2.668500075,     0.07278322725,    -0.06815353085,       2.781645269
          0,           0,          87,      -2.664584025,     0.06979801004,    -0.06271505741,        2.78034722
          0,           0,          88,      -2.665511884,     0.06232730908,    -0.06230266052,       2.775055699
          0,           0,          89,       -2.67719227,      0.0482755913,    -0.07108818497,       2.761244233
          0,           0,          90,        -2.6996861,     0.02845178447,      -0.089903488,       2.739671853
          0,           0,          91,      -2.728497815,     0.00604150614,     -0.1167722411,       2.714946025
          0,           0,          92,      -2.755563066,     -0.0142417072,     -0.1468661492,       2.693853036
          0,           0,          93,      -2.771821429,    -0.02783134754,     -0.1725439522,       2.682632057
          0,           0,          94,      -2.775649733,    -0.03338442828,     -0.1867213515,       2.679818846
          0,           0,          95,      -2.772140738,    -0.03356206398,     -0.1878942091,       2.680001905
          0,           0,          96,      -2.769628304,    -0.03312466061,     -0.1815331916,       2.676678432
          0,           0,          97,      -2.774590561,    -0.03653231152,     -0.1760902779,       2.665562316
          0,           0,          98,        -2.7888694,    -0.04634950946,     -0.1782038089,       2.646806053
          0,           0,          99,      -2.813327935,     -0.0633466676,      -0.191754178,       2.621372562
          0,           0,         100,      -2.843647913,    -0.08567033031,     -0.2164240833,        2.59504231
          0,           0,         101,      -2.872542012,     -0.1092450062,     -0.2473969074,       2.574679672
          0,           0,         102,      -2.893160702,     -0.1290177012,     -0.2754326248,       2.563461596
          0,           0,         103,      -2.902718963,     -0.1412001554,       -0.29014204,       2.559443752
          0,           0,         104,      -2.906717058,     -0.1465191055,     -0.2886987682,       2.554524409
          0,           0,         105,      -2.912286722,     -0.1491482052,     -0.2788716467,       2.542716318
          0,           0,         106,      -2.924557686,     -0.1539429102,     -0.2717712374,       2.521645564
          0,           0,         107,      -2.944810065,     -0.1641461068,     -0.2754692157,       2.493263091
          0,           0,         108,      -2.969527033,     -0.1803944994,     -0.2935862368,       2.464668497
