"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.121700007,      0.8368493401,     0.04075681115,       4.324486675
          0,           0,           1,      -1.492961489,      0.8152735903,       1.079947123,       3.964091719
          0,           0,           2,      -1.454002165,      0.9949731306,        1.08165945,       4.005228848
          0,           0,           3,      -1.455112641,       1.110375881,       1.163985034,        3.99972445
          0,           0,           4,      -1.422317077,       1.151373736,       1.169418423,       4.022340199
          0,           0,           5,       -1.40010031,        1.14013565,       1.140502641,         4.0429109
          0,           0,           6,      -1.392153784,       1.110300473,         1.1242303,       4.058084769
          0,           0,           7,      -1.397810973,       1.079574214,       1.143703982,       4.055355872
          0,           0,           8,      -1.410553645,       1.063857405,       1.155284061,       4.036125875
          0,           0,           9,      -1.424800847,       1.072696183,       1.143780415,       4.015373112
          0,           0,          10,      -1.419975956,       1.099408944,         1.1354214,       4.022676268
          0,           0,          11,      -1.422573952,       1.111176707,        1.13012824,       4.023924899
          0,           0,          12,       -1.44164086,       1.106388181,       1.110524903,       4.002487559
          0,           0,          13,      -1.481618558,        1.08755262,       1.065809532,       3.955692044
          0,           0,          14,      -1.519238091,        1.06373813,       1.007011581,       3.914464355
          0,           0,          15,      -1.555484959,       1.038647657,      0.9489316396,       3.882707796
          0,           0,          16,      -1.594673053,       1.019377719,      0.9172698985,       3.853908373
          0,           0,          17,      -1.633883227,       1.013645542,      0.9226318016,       3.823735041
          0,           0,          18,      -1.668547932,       1.011843762,      0.9375350821,       3.788413844
          0,           0,          19,      -1.695164996,       1.007715358,      0.9455215702,       3.753366634
          0,           0,          20,      -1.709155175,        1.00497836,      0.9481419856,       3.728265557
          0,           0,          21,      -1.714262054,       1.000077031,       0.943113654,       3.713689972
          0,           0,          22,      -1.717068498,      0.9913229913,      0.9305608236,       3.705598999
          0,           0,          23,      -1.723074003,      0.9788005771,      0.9115075095,       3.698684756
          0,           0,          24,      -1.734003154,      0.9638896979,      0.8869589567,       3.690841191
          0,           0,          25,      -1.748278867,      0.9480474562,      0.8587995758,       3.682757951
          0,           0,          26,      -1.764068532,      0.9328841891,      0.8305936642,       3.674761195
          0,           0,          27,      -1.779925557,      0.9202707416,      0.8081120484,       3.666437413
          0,           0,          28,      -1.795820153,      0.9117669487,      0.7969437734,       3.655969088
          0,           0,          29,       -1.81161948,      0.9084309442,       0.798745911,       3.642385352
          0,           0,          30,      -1.825430742,      0.9091397852,      0.8090820936,       3.626719572
          0,           0,          31,      -1.834871661,      0.9114675549,      0.8208537476,       3.611789646
          0,           0,          32,      -1.837517346,      0.9133076257,      0.8298271334,       3.602067038
          0,           0,          33,      -1.833999412,      0.9133170633,      0.8350069154,       3.599501439
          0,           0,          34,       -1.82733756,      0.9112415494,      0.8373035311,       3.602658187
          0,           0,          35,      -1.822326117,      0.9059692609,      0.8366078551,       3.606351826
          0,           0,          36,      -1.822744596,      0.8962161591,       0.831271355,       3.605729768
          0,           0,          37,      -1.829371863,      0.8807730026,      0.8194418149,       3.599515782
          0,           0,          38,      -1.841630827,      0.8589271282,      0.8000780272,       3.588463634
          0,           0,          39,      -1.858406098,       0.831182225,      0.7738027191,       3.574473315
          0,           0,          40,      -1.877821581,      0.8000150108,      0.7444102728,       3.559827678
