"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.284604319,      0.6680754695,     0.01271880048,       4.161582363
          0,           0,           1,      -1.663043412,      0.6806461087,      0.9134386743,       3.795349618
          0,           0,           2,      -1.626774253,       0.830320541,      0.9020183751,       3.832117169
          0,           0,           3,      -1.628701939,      0.9291692044,      0.9766610606,       3.825201429
          0,           0,           4,      -1.598991679,      0.9610063297,      0.9798404533,       3.846264121
          0,           0,           5,      -1.573579625,      0.9452223551,      0.9522323238,       3.871374006
          0,           0,           6,      -1.561352463,      0.9246738304,      0.9421424251,       3.891214371
          0,           0,           7,      -1.566323885,      0.9100044354,      0.9672161338,       3.887940836
          0,           0,           8,      -1.564425978,      0.8973058564,      0.9795306639,       3.881181216
          0,           0,           9,      -1.560327389,      0.9048532649,      0.9679084819,       3.880997327
          0,           0,          10,      -1.562403288,       0.931348364,      0.9623361396,       3.884227216
          0,           0,          11,      -1.565752985,      0.9466535885,      0.9687746199,       3.883651171
          0,           0,          12,      -1.577394494,      0.9401400174,      0.9575781858,       3.865931901
          0,           0,          13,      -1.601806598,      0.9158902815,      0.9082506594,       3.833909583
          0,           0,          14,      -1.638747627,      0.8800211105,      0.8334895138,        3.79710373
          0,           0,          15,      -1.675615384,      0.8491456405,       0.775714359,         3.7680997
          0,           0,          16,      -1.714379055,      0.8353410033,      0.7647856931,        3.73763247
          0,           0,          17,      -1.747378009,      0.8414131621,      0.7879319904,       3.707268281
          0,           0,          18,      -1.767386998,      0.8545171524,      0.8124225736,       3.680464436
          0,           0,          19,      -1.777106855,      0.8579173995,      0.8170598624,       3.658093353
          0,           0,          20,      -1.786983441,      0.8461910747,       0.798746377,       3.638324608
          0,           0,          21,       -1.80660123,      0.8207369405,      0.7655146622,       3.614951475
          0,           0,          22,      -1.834600601,      0.7885433413,      0.7257783051,       3.587559741
          0,           0,          23,      -1.866685596,      0.7560641239,       0.681046672,       3.561182785
          0,           0,          24,      -1.900612749,      0.7271712657,      0.6370860416,       3.536008054
          0,           0,          25,      -1.932358313,      0.7048846481,       0.601524394,       3.513414385
          0,           0,          26,      -1.958894978,      0.6911477964,      0.5822051307,       3.493526692
          0,           0,          27,      -1.979665724,      0.6864185594,      0.5820314011,       3.474923345
          0,           0,          28,       -1.99519457,      0.6903867816,      0.5977180237,       3.456868827
          0,           0,          29,       -2.00759615,      0.6987672299,      0.6191457604,       3.437716233
          0,           0,          30,      -2.016933964,      0.7073887197,      0.6382267272,       3.419311374
          0,           0,          31,      -2.022475451,      0.7128754298,      0.6504907846,       3.405011572
          0,           0,          32,      -2.024348644,      0.7130730604,      0.6542271449,       3.397145909
          0,           0,          33,      -2.023402258,      0.7073517267,      0.6494291047,       3.396246107
          0,           0,          34,      -2.023901449,      0.6943690905,      0.6357162674,       3.397144227
          0,           0,          35,      -2.028221507,      0.6742135421,      0.6137584652,       3.396231088
          0,           0,          36,      -2.037549257,      0.6477730771,      0.5850094624,       3.391387521
          0,           0,          37,      -2.051986654,      0.6170579448,      0.5524518433,       3.382054457
          0,           0,          38,      -2.070416636,      0.5856713558,       0.521104099,       3.369590878
          0,           0,          39,      -2.091768801,      0.5590041674,      0.4985859003,       3.354315756
          0,           0,          40,       -2.11378855,      0.5419977966,      0.4899277523,       3.337672494
          0,           0,          41,      -2.133692034,      0.5364553128,      0.4942178609,       3.321263012
          0,           0,          42,      -2.149166755,      0.5398690541,      0.5053825545,       3.306338673
          0,           0,          43,      -2.158335874,       0.548564225,      0.5175474006,       3.294799352
          0,           0,          44,      -2.164128021,      0.5563624422,       0.524322524,       3.284011519
          0,           0,          45,      -2.169192535,      0.5598647377,      0.5230153359,       3.272834019
          0,           0,          46,      -2.175786867,      0.5576113368,      0.5128460094,       3.260588208
          0,           0,          47,      -2.185024138,      0.5494179445,      0.4941512367,       3.247415758
          0,           0,          48,      -2.196051702,      0.5363636939,       0.467846213,       3.235349015
          0,           0,          49,       -2.20863412,      0.5192279024,      0.4361814617,       3.224769125
          0,           0,          50,      -2.221170574,      0.5004426886,      0.4031333738,       3.217039083
          0,           0,          51,      -2.232494209,      0.4835812352,      0.3747417918,       3.212367478
          0,           0,          52,      -2.242510477,      0.4723929645,      0.3576872029,       3.209252647
          0,           0,          53,       -2.25076133,      0.4700208074,      0.3563016524,       3.206848031
          0,           0,          54,      -2.259693919,      0.4741703541,      0.3666394374,       3.200161114
          0,           0,          55,       -2.26939714,      0.4801994064,      0.3795362778,       3.187933478
          0,           0,          56,      -2.278774884,      0.4831522972,      0.3862763125,       3.171327069
          0,           0,          57,      -2.286386779,      0.4794872316,      0.3812836978,       3.153708425
          0,           0,          58,      -2.290485784,      0.4681127712,      0.3621381857,        3.14078645
          0,           0,          59,      -2.293770325,      0.4491806274,      0.3301796365,       3.133810947
          0,           0,          60,      -2.298766523,      0.4262751891,       0.292265771,       3.131772236
          0,           0,          61,      -2.307949117,      0.4047776707,      0.2604564607,       3.130359897
          0,           0,          62,      -2.322910588,      0.3895127491,      0.2458580426,       3.124356116
          0,           0,          63,      -2.343101744,      0.3827843668,      0.2495865173,       3.111295785
          0,           0,          64,      -2.368138503,      0.3812818435,      0.2589502136,       3.088092146
          0,           0,          65,      -2.395129887,      0.3800038168,      0.2611013957,       3.056984321
          0,           0,          66,      -2.420595749,      0.3752473964,      0.2495078016,       3.023690743
          0,           0,          67,      -2.441736203,      0.3657108326,      0.2236716802,        2.99583224
          0,           0,          68,      -2.456452354,      0.3525677415,      0.1877807802,       2.980465205
          0,           0,          69,      -2.466691312,      0.3375343112,      0.1519242979,       2.975641436
          0,           0,          70,      -2.474626431,      0.3231153881,      0.1274125116,       2.975352542
          0,           0,          71,      -2.483022645,      0.3110734678,      0.1191004744,       2.972790867
          0,           0,          72,      -2.494560526,       0.301626451,      0.1214164212,       2.963361432
          0,           0,          73,      -2.509887729,      0.2942601364,      0.1251117361,       2.946845507
          0,           0,          74,      -2.530185547,      0.2866508113,      0.1213108246,       2.922818616
          0,           0,          75,      -2.552417922,      0.2776424251,      0.1072366755,        2.89615908
          0,           0,          76,      -2.570711309,      0.2673376362,      0.0848341761,       2.874595727
          0,           0,          77,      -2.579508846,      0.2566933741,     0.05968789388,       2.864629126
          0,           0,          78,      -2.576190418,      0.2471952363,     0.03964533513,       2.868690283
          0,           0,          79,      -2.567890366,      0.2386051269,     0.03014151533,       2.877880135
          0,           0,          80,      -2.562290218,      0.2303067151,     0.03032796118,       2.884001123
          0,           0,          81,      -2.565130905,      0.2214476107,     0.03465579407,       2.881617837
          0,           0,          82,      -2.578742657,      0.2114093603,     0.03710004577,       2.868900032
          0,           0,          83,      -2.600934762,      0.2006672328,     0.03444682523,       2.848760156
          0,           0,          84,      -2.628288691,      0.1892956391,     0.02473792569,        2.82399225
          0,           0,          85,      -2.652733508,      0.1779340705,    0.009128312836,       2.801778394
          0,           0,          86,      -2.666864497,      0.1671946569,   -0.009203612323,       2.788422955
          0,           0,          87,      -2.669918222,      0.1572117802,    -0.02602056072,       2.784402291
          0,           0,          88,      -2.667184548,       0.147842287,    -0.03739025385,       2.785364038
          0,           0,          89,       -2.66831355,      0.1379477975,    -0.04266830322,       2.782439004
          0,           0,          90,      -2.678729548,      0.1268276365,     -0.0447588513,       2.770826233
          0,           0,          91,      -2.699385745,      0.1142338655,     -0.0484933454,       2.749894267
          0,           0,          92,      -2.726906939,      0.1004376662,    -0.05835617303,       2.723213331
          0,           0,          93,      -2.753352264,     0.08640407881,    -0.07651247121,       2.698808829
          0,           0,          94,      -2.771785343,     0.07333632414,     -0.1021698521,       2.682825726
          0,           0,          95,      -2.777609609,     0.06245933065,     -0.1301783464,       2.678525345
          0,           0,          96,      -2.773620544,     0.05448013033,     -0.1518794352,         2.6821184
          0,           0,          97,      -2.767531248,     0.04898500279,     -0.1599953364,       2.685893413
          0,           0,          98,      -2.765370937,     0.04461068914,     -0.1546205463,       2.684504063
          0,           0,          99,      -2.772865723,     0.03890658179,     -0.1446110513,       2.673148051
          0,           0,         100,      -2.790872843,      0.0299848451,     -0.1396760953,       2.652252545
          0,           0,         101,      -2.816693021,     0.01712604947,     -0.1456735456,       2.626179702
          0,           0,         102,       -2.84468141,    0.001074595378,     -0.1637977978,       2.601978656
          0,           0,         103,      -2.867206801,    -0.01592218452,     -0.1905627276,       2.586972156
          0,           0,         104,      -2.880927441,     -0.0312121516,     -0.2176253386,       2.580965134
          0,           0,         105,      -2.886720498,    -0.04271552509,     -0.2346233124,       2.579172246
          0,           0,         106,      -2.890188752,    -0.05012107973,      -0.236255705,        2.57451598
          0,           0,         107,      -2.897246251,    -0.05517648539,     -0.2275593793,       2.562015809
