caso,x_choque_50_m,erro_x_m,largura_10_90_m,pressao_min_pa,pressao_max_pa
HLLC — 2ª ordem,1.114608856301371,0.004031197137752018,0.04386302515262841,96474.0,175950.0
HLLC — 1ª ordem,1.1061486803370832,-0.004428978826535701,0.2123263072512549,100000.0,170770.0
JST — 2ª ordem,1.114880537849163,0.0043028786855441314,0.052181546843928395,99062.0,174650.0
Lax–Friedrich — solicitado como 2ª ordem,1.0997936831081137,-0.010783976055505295,0.2600546468298338,100000.0,170760.0
Roe — 2ª ordem,1.114322465607736,0.0037448064441170104,0.04405695971931656,96477.0,175740.0
