variables = "x/c" , "CP"
zone t = "alpha = 8.0221"
0.0000	-1.1694
0.0135	-2.7291
0.0271	-2.3036
0.0515	-1.8325
0.0763	-1.6100
0.1012	-1.4251
0.1503	-1.1548
0.1994	-1.0039
0.2501	-0.8657
0.2999	-0.7641
0.3499	-0.6680
0.3994	-0.5893
0.4496	-0.5124
0.4997	-0.4508
0.5492	-0.3808
0.5994	-0.3251
0.6495	-0.2776
0.6996	-0.2197
0.7489	-0.1655
0.8003	-0.1070
0.8500	-0.0471
0.8993	0.0166
0.9489	0.0935
0.9483	0.1174
0.9000	0.0654
0.8503	0.0705
0.7993	0.0650
0.7497	0.0516
0.7003	0.0453
0.6502	0.0288
0.5997	0.0421
0.5506	0.0385
0.5000	0.0397
0.4503	0.0537
0.4000	0.0555
0.3507	0.0673
0.3002	0.0923
0.2501	0.1241
0.2004	0.1709
0.1504	0.2505
0.1000	0.3806
0.0755	0.4812
0.0510	0.6298
0.0251	0.8776
0.0122	1.0200
0.0000	-1.1694


