"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.6866,7.4611e+05,1.6417,1024.9,178.82,0,1.7009e+05,0.25032,351.31,607.68,106.02,0,1,1.3625,1.3625,0.5,0
1.6869,7.4622e+05,1.6416,1025,178.93,0,1.7012e+05,0.25044,351.33,607.65,106.07,0,1,1.365,1.365,0.5,0
1.6871,7.4633e+05,1.6415,1025.1,179.03,0,1.7016e+05,0.25056,351.34,607.61,106.12,0,1,1.3675,1.3675,0.5,0
1.6874,7.4644e+05,1.6414,1025.2,179.14,0,1.7019e+05,0.25068,351.36,607.58,106.16,0,1,1.37,1.37,0.5,0
1.6876,7.4654e+05,1.6413,1025.3,179.24,0,1.7022e+05,0.2508,351.37,607.55,106.21,0,1,1.3725,1.3725,0.5,0
1.6879,7.4665e+05,1.6412,1025.4,179.34,0,1.7026e+05,0.25091,351.39,607.51,106.25,0,1,1.375,1.375,0.5,0
1.6881,7.4675e+05,1.6411,1025.5,179.44,0,1.7029e+05,0.25103,351.4,607.48,106.29,0,1,1.3775,1.3775,0.5,0
1.6883,7.4683e+05,1.641,1025.6,179.51,0,1.7031e+05,0.25112,351.41,607.46,106.33,0,1,1.38,1.38,0.5,0
1.6885,7.469e+05,1.6409,1025.7,179.58,0,1.7034e+05,0.2512,351.43,607.43,106.36,0,1,1.3825,1.3825,0.5,0
1.6887,7.4697e+05,1.6409,1025.7,179.65,0,1.7036e+05,0.25128,351.44,607.41,106.39,0,1,1.385,1.385,0.5,0
1.6888,7.4704e+05,1.6408,1025.8,179.72,0,1.7038e+05,0.25136,351.45,607.39,106.42,0,1,1.3875,1.3875,0.5,0
1.689,7.4711e+05,1.6407,1025.8,179.79,0,1.704e+05,0.25143,351.46,607.37,106.45,0,1,1.39,1.39,0.5,0
1.6892,7.4717e+05,1.6407,1025.9,179.86,0,1.7042e+05,0.25151,351.47,607.34,106.48,0,1,1.3925,1.3925,0.5,0
1.6893,7.4724e+05,1.6406,1026,179.92,0,1.7044e+05,0.25159,351.48,607.32,106.51,0,1,1.395,1.395,0.5,0
1.6895,7.4731e+05,1.6405,1026,179.99,0,1.7047e+05,0.25166,351.49,607.3,106.53,0,1,1.3975,1.3975,0.5,0
1.6896,7.4736e+05,1.6405,1026.1,180.04,0,1.7048e+05,0.25172,351.49,607.28,106.56,0,1,1.4,1.4,0.5,0
1.6897,7.4741e+05,1.6404,1026.1,180.09,0,1.705e+05,0.25178,351.5,607.27,106.58,0,1,1.4025,1.4025,0.5,0
1.6899,7.4745e+05,1.6404,1026.2,180.14,0,1.7051e+05,0.25183,351.51,607.25,106.6,0,1,1.405,1.405,0.5,0
1.69,7.475e+05,1.6403,1026.2,180.19,0,1.7053e+05,0.25188,351.52,607.24,106.62,0,1,1.4075,1.4075,0.5,0
1.6901,7.4755e+05,1.6403,1026.3,180.23,0,1.7054e+05,0.25194,351.52,607.22,106.64,0,1,1.41,1.41,0.5,0
1.6902,7.4759e+05,1.6402,1026.3,180.28,0,1.7056e+05,0.25199,351.53,607.21,106.66,0,1,1.4125,1.4125,0.5,0
1.6903,7.4764e+05,1.6402,1026.3,180.32,0,1.7057e+05,0.25204,351.54,607.19,106.68,0,1,1.415,1.415,0.5,0
1.6904,7.4768e+05,1.6401,1026.4,180.37,0,1.7059e+05,0.25209,351.54,607.18,106.7,0,1,1.4175,1.4175,0.5,0
1.6905,7.4772e+05,1.6401,1026.4,180.41,0,1.706e+05,0.25213,351.55,607.16,106.72,0,1,1.42,1.42,0.5,0
1.6906,7.4775e+05,1.6401,1026.4,180.44,0,1.7061e+05,0.25217,351.56,607.15,106.73,0,1,1.4225,1.4225,0.5,0
1.6907,7.4778e+05,1.64,1026.5,180.47,0,1.7062e+05,0.25221,351.56,607.14,106.75,0,1,1.425,1.425,0.5,0
1.6907,7.4781e+05,1.64,1026.5,180.51,0,1.7063e+05,0.25224,351.56,607.13,106.76,0,1,1.4275,1.4275,0.5,0
1.6908,7.4784e+05,1.64,1026.5,180.54,0,1.7064e+05,0.25228,351.57,607.12,106.78,0,1,1.43,1.43,0.5,0
1.6909,7.4787e+05,1.6399,1026.6,180.57,0,1.7065e+05,0.25231,351.57,607.11,106.79,0,1,1.4325,1.4325,0.5,0
1.691,7.479e+05,1.6399,1026.6,180.6,0,1.7066e+05,0.25235,351.58,607.1,106.8,0,1,1.435,1.435,0.5,0
1.691,7.4793e+05,1.6399,1026.6,180.63,0,1.7067e+05,0.25238,351.58,607.09,106.82,0,1,1.4375,1.4375,0.5,0
1.6911,7.4796e+05,1.6398,1026.6,180.66,0,1.7067e+05,0.25241,351.59,607.08,106.83,0,1,1.44,1.44,0.5,0
1.6911,7.4798e+05,1.6398,1026.6,180.68,0,1.7068e+05,0.25243,351.59,607.07,106.84,0,1,1.4425,1.4425,0.5,0
1.6912,7.48e+05,1.6398,1026.7,180.7,0,1.7069e+05,0.25245,351.59,607.07,106.85,0,1,1.445,1.445,0.5,0
1.6912,7.4802e+05,1.6398,1026.7,180.72,0,1.7069e+05,0.25248,351.6,607.06,106.86,0,1,1.4475,1.4475,0.5,0
1.6913,7.4803e+05,1.6398,1026.7,180.75,0,1.707e+05,0.2525,351.6,607.05,106.87,0,1,1.45,1.45,0.5,0
1.6913,7.4805e+05,1.6397,1026.7,180.77,0,1.7071e+05,0.25252,351.6,607.05,106.88,0,1,1.4525,1.4525,0.5,0
1.6914,7.4807e+05,1.6397,1026.7,180.79,0,1.7071e+05,0.25254,351.61,607.04,106.89,0,1,1.455,1.455,0.5,0
1.6914,7.4809e+05,1.6397,1026.7,180.81,0,1.7072e+05,0.25256,351.61,607.03,106.9,0,1,1.4575,1.4575,0.5,0
1.6914,7.481e+05,1.6397,1026.7,180.83,0,1.7072e+05,0.25258,351.61,607.03,106.91,0,1,1.46,1.46,0.5,0
1.6915,7.4811e+05,1.6397,1026.8,180.84,0,1.7073e+05,0.25259,351.61,607.02,106.92,0,1,1.4625,1.4625,0.5,0
1.6915,7.4812e+05,1.6397,1026.8,180.86,0,1.7073e+05,0.2526,351.62,607.02,106.92,0,1,1.465,1.465,0.5,0
1.6915,7.4813e+05,1.6396,1026.8,180.88,0,1.7073e+05,0.25262,351.62,607.01,106.93,0,1,1.4675,1.4675,0.5,0
1.6915,7.4814e+05,1.6396,1026.8,180.89,0,1.7074e+05,0.25263,351.62,607.01,106.94,0,1,1.47,1.47,0.5,0
1.6916,7.4815e+05,1.6396,1026.8,180.91,0,1.7074e+05,0.25264,351.62,607,106.95,0,1,1.4725,1.4725,0.5,0
1.6916,7.4816e+05,1.6396,1026.8,180.92,0,1.7074e+05,0.25265,351.62,607,106.95,0,1,1.475,1.475,0.5,0
1.6916,7.4817e+05,1.6396,1026.8,180.94,0,1.7075e+05,0.25266,351.63,607,106.96,0,1,1.4775,1.4775,0.5,0
1.6916,7.4818e+05,1.6396,1026.8,180.95,0,1.7075e+05,0.25267,351.63,606.99,106.97,0,1,1.48,1.48,0.5,0
1.6916,7.4818e+05,1.6396,1026.8,180.96,0,1.7075e+05,0.25268,351.63,606.99,106.97,0,1,1.4825,1.4825,0.5,0
1.6916,7.4819e+05,1.6396,1026.8,180.96,0,1.7075e+05,0.25268,351.63,606.99,106.97,0,1,1.485,1.485,0.5,0
1.6916,7.4819e+05,1.6396,1026.8,180.97,0,1.7075e+05,0.25268,351.63,606.99,106.98,0,1,1.4875,1.4875,0.5,0
1.6917,7.4819e+05,1.6396,1026.8,180.97,0,1.7075e+05,0.25269,351.63,606.98,106.98,0,1,1.49,1.49,0.5,0
1.6917,7.4819e+05,1.6396,1026.8,180.98,0,1.7075e+05,0.25269,351.63,606.98,106.98,0,1,1.4925,1.4925,0.5,0
1.6917,7.482e+05,1.6395,1026.8,180.99,0,1.7076e+05,0.2527,351.63,606.98,106.99,0,1,1.495,1.495,0.5,0
1.6917,7.482e+05,1.6395,1026.8,180.99,0,1.7076e+05,0.2527,351.63,606.98,106.99,0,1,1.4975,1.4975,0.5,0
1.6917,7.482e+05,1.6395,1026.8,181,0,1.7076e+05,0.2527,351.63,606.98,106.99,0,1,1.5,1.5,0.5,0
