"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.632896519016437e-05, 1.368302983095077e+00, 6.897886860303990e+01, 1.001956836524873e+01, 2.735570010039089e+05
1, 9.990000128750000e-01, -1.452537504052920e-04, 1.321328009743560e+00, 8.827030043272894e+01, 1.280936263912346e+01, 2.645358736815515e+05
2, 9.977599978450000e-01, -3.251111630156300e-04, 1.318699731599274e+00, 9.933624837046234e+01, 1.439193918044302e+01, 2.642426708572614e+05
3, 9.960200190539999e-01, -5.769983605901485e-04, 1.312594180797017e+00, 1.035220564585290e+02, 1.496461094421825e+01, 2.631236080793474e+05
4, 9.937800168990000e-01, -9.004365425509819e-04, 1.310229561736870e+00, 1.065933664798733e+02, 1.536410299643064e+01, 2.627255715845574e+05
5, 9.910500049590000e-01, -1.293363843462116e-03, 1.308245427057969e+00, 1.089144447287912e+02, 1.564353051205616e+01, 2.623871161873150e+05
6, 9.878399968150000e-01, -1.753609743384430e-03, 1.306707968146724e+00, 1.108117839606411e+02, 1.585018164091388e+01, 2.621281552836105e+05
7, 9.841300249100000e-01, -2.283176811071472e-03, 1.305360965398434e+00, 1.124324506458965e+02, 1.600585426588403e+01, 2.619009078453567e+05
8, 9.799500107769999e-01, -2.876826092032643e-03, 1.304150131255886e+00, 1.138575559483877e+02, 1.612199766076197e+01, 2.616963261372980e+05
9, 9.752799868580000e-01, -3.536324145770189e-03, 1.303050175362413e+00, 1.151461312017515e+02, 1.620787642061408e+01, 2.615107045333079e+05
10, 9.701499938960000e-01, -4.256268552403566e-03, 1.302030523678921e+00, 1.163257961945905e+02, 1.626724029725261e+01, 2.613385615268737e+05
11, 9.645400047300000e-01, -5.038225493362627e-03, 1.301073918271675e+00, 1.174170473094912e+02, 1.630375824198472e+01, 2.611769178108797e+05
12, 9.584699869160000e-01, -5.878077433056352e-03, 1.300173699351746e+00, 1.184376491291254e+02, 1.631998155313408e+01, 2.610248509060045e+05
13, 9.519400000570000e-01, -6.774428848839826e-03, 1.299317986418981e+00, 1.193956791900046e+02, 1.631762652736783e+01, 2.608801679807275e+05
14, 9.449599981310000e-01, -7.724467125531491e-03, 1.298503705812905e+00, 1.203019268034278e+02, 1.629857116007581e+01, 2.607425066489737e+05
15, 9.375399947170000e-01, -8.725349486403867e-03, 1.297724476109989e+00, 1.211617538961309e+02, 1.626404015051235e+01, 2.606107134695897e+05
16, 9.296900033950000e-01, -9.774221272349531e-03, 1.296976633365983e+00, 1.219811264814524e+02, 1.621512587807175e+01, 2.604841962372366e+05
17, 9.214000105860000e-01, -1.087086069705918e-02, 1.296254662664153e+00, 1.227651852159063e+02, 1.615318860819217e+01, 2.603619807493883e+05
18, 9.126999974250000e-01, -1.200973104171110e-02, 1.295558602775069e+00, 1.235190510720304e+02, 1.607895559676498e+01, 2.602441962292832e+05
