"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,     -0.4814595639,       2.346980287,       1.592365555,       5.253007815,            280000,     0.01738842052,     -0.1017264066,                 0,                 0,                 0,    -0.07348548447,     0.01738842052,     -0.1017264066,                 0,      -5.850238467
          0,           0,           1,     -0.7631276733,       2.061515006,       1.395397394,       4.969992762,            280000,     0.04246904332,     -0.2412903596,                 0,                 0,                 0,     -0.1793730486,     0.04246904332,     -0.2412903596,                 0,      -5.681558631
          0,           0,           2,       -1.03831341,       1.763008366,       1.518092718,       4.705191711,            280000,     0.04415892494,     -0.2496567495,                 0,                 0,                 0,      -0.183040067,     0.04415892494,     -0.2496567495,                 0,      -5.653596637
          0,           0,           3,      -1.239344521,       1.532967316,       1.404391161,       4.502774219,            280000,     0.04590715643,     -0.2599462491,                 0,                 0,                 0,     -0.1930083709,     0.04590715643,     -0.2599462491,                 0,      -5.662434124
          0,           0,           4,      -1.081805972,        1.71171039,       1.420197862,       4.637753009,            280000,     0.04498563862,     -0.2553293571,                 0,                 0,                 0,     -0.1920331866,     0.04498563862,     -0.2553293571,                 0,      -5.675797097
          0,           0,           5,      -1.262207338,       1.491355631,       1.230773973,       4.474922478,            280000,     0.04424104115,     -0.2514743401,                 0,                 0,                 0,     -0.1905011477,     0.04424104115,     -0.2514743401,                 0,      -5.684186753
          0,           0,           6,       -1.38753001,       1.314681957,       1.156489069,       4.364143685,            280000,     0.04444312667,     -0.2527478084,                 0,                 0,                 0,     -0.1931916866,     0.04444312667,     -0.2527478084,                 0,      -5.686994309
          0,           0,           7,      -1.420203634,       1.263616239,       1.101711511,       4.336332874,            280000,     0.04479377116,     -0.2544971295,                 0,                 0,                 0,     -0.1956107641,     0.04479377116,     -0.2544971295,                 0,      -5.681529438
          0,           0,           8,       -1.44462037,       1.229290052,       1.053057681,       4.321354115,            280000,     0.04494427627,     -0.2549852398,                 0,                 0,                 0,     -0.1961807599,     0.04494427627,     -0.2549852398,                 0,      -5.673364018
          0,           0,           9,      -1.479690097,       1.175981487,       1.020787497,       4.297561518,            280000,     0.04485195397,     -0.2540729644,                 0,                 0,                 0,     -0.1951664739,     0.04485195397,     -0.2540729644,                 0,      -5.664702247
          0,           0,          10,      -1.509292991,       1.139115652,      0.9883595588,        4.27598683,            280000,     0.04468725521,     -0.2529206002,                 0,                 0,                 0,     -0.1938559444,     0.04468725521,     -0.2529206002,                 0,      -5.659792687
          0,           0,          11,      -1.546080534,       1.098132914,      0.9503041355,       4.245121864,            280000,     0.04455013068,     -0.2522169865,                 0,                 0,                 0,     -0.1930484612,     0.04455013068,     -0.2522169865,                 0,      -5.661419677
          0,           0,          12,      -1.591935503,       1.050805111,      0.9027497402,       4.202668401,            280000,     0.04446610468,     -0.2520958193,                 0,                 0,                 0,     -0.1929368168,     0.04446610468,     -0.2520958193,                 0,      -5.669392925
          0,           0,          13,      -1.646244252,       1.001477566,      0.8397640669,       4.150568215,            280000,     0.04443302626,     -0.2523924599,                 0,                 0,                 0,     -0.1933278911,     0.04443302626,     -0.2523924599,                 0,      -5.680289665
          0,           0,          14,      -1.722278066,      0.9181435323,      0.7747673644,       4.076868576,            280000,     0.04443125435,     -0.2528227127,                 0,                 0,                 0,     -0.1938836826,     0.04443125435,     -0.2528227127,                 0,      -5.690199756
          0,           0,          15,      -1.798123809,      0.8388430207,      0.7087398168,       3.999331255,            280000,     0.04444421446,     -0.2531532936,                 0,                 0,                 0,     -0.1943254454,     0.04444421446,     -0.2531532936,                 0,       -5.69597858
          0,           0,          16,      -1.871192832,      0.7665005853,      0.6403828516,       3.923287567,            280000,     0.04446095439,     -0.2532416804,                 0,                 0,                 0,      -0.194475309,     0.04446095439,     -0.2532416804,                 0,       -5.69582196
          0,           0,          17,      -1.941708931,      0.6976832202,      0.5722460525,       3.849730813,            280000,     0.04447885773,     -0.2529947611,                 0,                 0,                 0,      -0.194213272,     0.04447885773,     -0.2529947611,                 0,       -5.68797793
          0,           0,          18,      -2.004768137,      0.6507188079,      0.4897891833,       3.782734007,            280000,     0.04447881073,     -0.2527215774,                 0,                 0,                 0,     -0.1938845688,     0.04447881073,     -0.2527215774,                 0,      -5.681842056
          0,           0,          19,      -2.091037162,      0.5323710194,      0.4425732912,       3.698956998,            280000,     0.04447570401,     -0.2523488199,                 0,                 0,                 0,     -0.1934379352,     0.04447570401,     -0.2523488199,                 0,      -5.673857796
          0,           0,          20,       -2.14586202,      0.4792466273,      0.3906964054,       3.641008001,            280000,     0.04446900884,     -0.2520919746,                 0,                 0,                 0,      -0.193123694,     0.04446900884,     -0.2520919746,                 0,      -5.668936214
